rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
1,12,0,2,1,46,0,2,5,0,0,1,0,1,6,0,36,1,0,8,21,6-18,1-1,408,239,19-32,7.5,169,51,3.3,4-35,1,0,1,36:59,Minnesota,home,17,400935230,2017,1,regular
0,14,0,1,1,18,0,1,1,0,0,1,0,,2,0,44,0,0,4,13,5-17,0-1,262,211,22-42,5.0,51,22,2.3,4-35,1,0,1,23:01,Buffalo,away,7,400935230,2017,1,regular
1,,,,0,132,0,8,1,0,0,1,0,3,3,0,55,1,0,1,12,4-14,0-2,248,41,2-9,4.6,207,45,4.6,5-45,1,0,1,32:21,Presbyterian College,away,7,400937445,2017,1,regular
2,76,0,4,5,39,0,2,9,22,0,1,0,,9,0,47,3,2,2,28,5-9,1-1,487,239,20-27,8.9,248,45,5.5,4-25,1,0,1,27:39,Wake Forest,home,51,400937445,2017,1,regular
0,-3,0,1,3,,,,6,,,,0,1,8,0,41,1,3,4,29,5-19,2-3,592,371,31-54,6.9,221,35,6.3,9-81,1,0,1,29:00,West Virginia,away,24,400934497,2017,1,regular
3,5,0,1,1,93,0,3,7,8,0,1,0,,5,0,52,2,7,9,21,3-15,1-1,469,235,15-27,8.7,234,45,5.2,5-34,0,0,0,31:00,Virginia Tech,home,31,400934497,2017,1,regular
1,,,,0,100,0,4,7,,,,0,1,2,0,39,0,1,1,20,8-17,2-2,350,229,25-39,5.9,121,30,4.0,13-96,2,1,1,34:29,Bethune-Cookman,away,13,400937449,2017,1,regular
2,12,0,1,3,65,0,3,11,24,0,1,1,1,7,0,44,1,2,3,28,4-8,0-0,555,233,18-31,7.5,322,34,9.5,8-83,0,0,0,25:31,Miami,home,41,400937449,2017,1,regular
1,,,,4,50,0,3,5,42,0,2,0,1,4,0,46,2,4,4,20,8-18,2-2,469,363,24-38,9.6,106,35,3.0,9-57,2,0,2,29:47,California,away,35,400935256,2017,1,regular
3,17,0,1,1,68,0,3,6,73,0,2,0,1,6,0,34,1,3,4,28,7-16,1-2,440,221,25-44,5.0,219,45,4.9,7-50,3,1,2,30:13,North Carolina,home,30,400935256,2017,1,regular
1,-7,0,1,0,61,0,3,4,,,,0,2,9,0,38,3,0,3,12,1-11,2-2,240,72,7-13,5.5,168,41,4.1,2-10,1,0,1,28:00,William & Mary,away,10,400937452,2017,1,regular
1,7,0,2,3,91,0,3,4,3,0,1,0,2,3,0,29,2,0,1,19,9-18,2-4,354,262,27-40,6.6,92,32,2.9,3-15,0,0,0,32:00,Virginia,home,28,400937452,2017,1,regular
1,8,0,1,0,166,0,8,1,,,,0,1,4,0,49,1,3,0,8,2-12,0-1,158,94,11-18,5.2,64,31,2.1,7-66,1,0,1,29:11,North Carolina Central,away,7,400937448,2017,1,regular
4,12,0,3,3,91,0,3,10,28,1,1,0,2,10,1,31,3,3,1,30,6-14,3-4,524,281,26-34,8.3,243,47,5.2,3-40,0,0,0,30:49,Duke,home,60,400937448,2017,1,regular
1,,,,0,100,0,6,0,,,,1,0,0,0,27,0,0,1,20,5-16,2-4,306,240,28-41,5.9,66,34,1.9,5-25,1,0,1,34:31,Fordham,away,6,400934570,2017,1,regular
8,,,,0,46,0,2,10,27,0,1,0,1,8,0,48,3,0,4,22,4-5,0-0,513,0,0-2,0.0,513,47,10.9,3-30,1,1,0,25:29,Army,home,64,400934570,2017,1,regular
1,15,0,3,3,34,0,2,5,38,1,1,0,4,3,1,25,1,8,6,25,8-15,0-0,465,250,22-36,6.9,215,46,4.7,4-25,3,3,0,38:01,Michigan State,home,35,400935234,2017,1,regular
0,10,0,1,0,93,0,5,4,,,,3,,8,0,37,0,4,4,9,2-13,0-2,212,145,10-31,4.7,67,24,2.8,4-20,1,0,1,21:59,Bowling Green,away,10,400935234,2017,1,regular
2,0,0,1,0,45,0,3,6,,,,1,3,9,0,48,2,1,1,26,16-26,1-2,432,188,20-38,4.9,244,60,4.1,6-48,2,2,0,36:40,Tulsa,away,24,400934493,2017,1,regular
4,3,0,2,3,67,0,3,11,,,,0,2,9,0,69,1,3,4,25,5-9,0-0,640,308,21-26,11.8,332,37,9.0,5-51,2,2,0,23:20,Oklahoma State,home,59,400934493,2017,1,regular
1,,,,1,35,0,2,7,,,,0,2,4,0,39,1,0,0,28,10-19,2-3,421,198,27-35,5.7,223,55,4.1,3-15,3,2,1,37:13,Central Arkansas,away,19,400934491,2017,1,regular
2,62,1,1,4,156,0,5,13,7,0,1,2,,9,1,74,4,0,1,16,5-9,0-1,519,333,10-16,20.8,186,31,6.0,6-58,0,0,0,22:47,Kansas State,home,55,400934491,2017,1,regular
1,,,,3,44,0,2,16,30,1,2,0,2,1,1,33,0,4,2,31,15-24,2-2,585,447,44-60,7.4,138,43,3.2,8-95,0,0,0,38:16,Liberty,away,48,400934489,2017,1,regular
3,,,,3,53,0,3,9,,,,0,1,10,0,71,1,2,7,22,4-12,2-2,532,278,14-30,9.3,254,34,7.5,7-61,2,0,2,21:44,Baylor,home,45,400934489,2017,1,regular
1,,,,0,45,0,2,1,,,,0,1,5,0,46,1,1,1,11,4-12,0-0,167,94,16-27,3.5,73,21,3.5,5-50,1,1,0,25:24,UTEP,away,7,400934492,2017,1,regular
4,26,0,4,4,23,0,1,8,,,,1,0,4,0,30,1,3,4,35,4-7,0-2,676,496,32-36,13.8,180,38,4.7,5-60,0,0,0,34:36,Oklahoma,home,56,400934492,2017,1,regular
4,16,0,1,2,183,0,6,9,0,0,1,1,0,9,0,62,6,1,4,18,3-11,0-0,482,219,12-15,14.6,263,43,6.1,10-53,1,0,1,29:44,Maryland,away,51,400934495,2017,1,regular
1,91,1,1,2,129,0,8,5,31,1,1,0,1,2,2,43,1,0,1,26,9-18,0-4,473,375,34-53,7.1,98,31,3.2,11-117,2,1,1,30:16,Texas,home,41,400934495,2017,1,regular
0,7,0,2,3,81,0,4,6,11,0,1,0,,4,0,42,0,1,2,21,3-11,0-0,378,259,23-38,6.8,119,22,5.4,8-71,3,0,3,29:04,Northern Iowa,away,24,400934488,2017,1,regular
