team_id,record_string
Southern Mississippi 2016,7-6
South Carolina 2016,6-7
TCU 2016,6-7
Tennessee 2016,9-4
UT San Antonio 2016,6-7
UTEP 2016,4-8
Texas Tech 2016,5-7
Toledo 2016,9-4
Troy 2016,10-3
Tulane 2016,4-8
Western Michigan 2016,13-1
Wyoming 2016,8-6
Auburn 2017,10-4
UAB 2017,8-5
South Alabama 2017,4-8
Arkansas 2017,4-8
Arizona State 2017,7-6
Arizona 2017,7-6
San Diego State 2017,10-3
San José State 2017,2-11
Stanford 2017,9-5
California 2017,5-7
UCLA 2017,6-7
USC 2017,11-3
Colorado State 2017,7-6
Colorado 2017,5-7
Connecticut 2017,3-9
Florida State 2017,7-6
Florida 2017,4-7
South Florida 2017,10-2
Georgia Tech 2017,5-6
Georgia 2017,13-2
Hawai'i 2017,3-9
Iowa State 2017,8-5
Boise State 2017,11-3
Idaho 2017,4-8
Northwestern 2017,10-3
Indiana 2017,5-7
Notre Dame 2017,10-3
Kentucky 2017,7-6
Louisville 2017,8-5
Western Kentucky 2017,6-7
LSU 2017,9-4
Boston College 2017,7-6
UMass 2017,4-8
Maryland 2017,4-8
Michigan State 2017,10-3
Michigan 2017,8-5
Minnesota 2017,5-7
Missouri 2017,7-6
Ole Miss 2017,6-6
Duke 2017,7-6
East Carolina 2017,3-9
NC State 2017,9-4
North Carolina 2017,3-9
Wake Forest 2017,8-5
Nebraska 2017,4-8
Rutgers 2017,4-8
New Mexico State 2017,7-6
New Mexico 2017,3-9
Syracuse 2017,4-8
Bowling Green 2017,2-10
Miami (OH) 2017,5-7
Ohio State 2017,12-2
Ohio 2017,9-4
Oklahoma State 2017,10-3
Oklahoma 2017,12-2
Tulsa 2017,2-10
Oregon State 2017,1-11
Penn State 2017,11-2
Temple 2017,7-6
Pittsburgh 2017,5-7
Clemson 2017,12-2
Memphis 2017,10-3
Vanderbilt 2017,5-7
Baylor 2017,1-11
Rice 2017,1-11
Texas A&M 2017,7-6
Houston 2017,7-5
North Texas 2017,9-5
Texas 2017,7-6
BYU 2017,4-9
Utah 2017,7-6
Virginia 2017,6-7
Virginia Tech 2017,9-4
Washington 2017,10-3
Washington State 2017,9-4
Wisconsin 2017,13-1
Marshall 2017,8-5
West Virginia 2017,7-6
Fresno State 2017,10-4
Georgia Southern 2017,2-10
Old Dominion 2017,5-7
Louisiana 2017,5-7
Coastal Carolina 2017,3-9
Texas State 2017,2-10
Utah State 2017,6-7
Alabama 2017,13-1
Mississippi State 2017,9-4
Army 2017,10-3
Illinois 2017,2-10
Air Force 2017,5-7
Akron 2017,7-7
Appalachian State 2017,9-4
Arkansas State 2017,7-5
Ball State 2017,2-10
Buffalo 2017,6-6
UCF 2017,13-0
Central Michigan 2017,8-5
Cincinnati 2017,4-8
Eastern Michigan 2017,5-7
Florida Atlantic 2017,11-3
Florida International 2017,8-5
Georgia State 2017,7-5
Iowa 2017,8-5
Kansas 2017,1-11
Kansas State 2017,8-5
Kent State 2017,2-10
Louisiana Tech 2017,7-6
Miami 2017,10-3
Middle Tennessee 2017,7-6
Navy 2017,7-6
Charlotte 2017,1-11
Louisiana Monroe 2017,4-8
UNLV 2017,5-7
Nevada 2017,3-9
Northern Illinois 2017,8-5
Oregon 2017,7-6
Purdue 2017,7-6
SMU 2017,7-6
Southern Mississippi 2017,8-5
South Carolina 2017,9-4
TCU 2017,11-3
Tennessee 2017,4-8
UT San Antonio 2017,6-5
UTEP 2017,0-12
Texas Tech 2017,6-7
Toledo 2017,11-3
Troy 2017,11-2
Tulane 2017,5-7
Western Michigan 2017,6-6
Wyoming 2017,8-5
Auburn 2018,8-5
UAB 2018,11-3
South Alabama 2018,3-9
Arkansas 2018,2-10
Arizona State 2018,7-6
Arizona 2018,5-7
San Diego State 2018,7-6
San José State 2018,1-11
Stanford 2018,9-4
California 2018,7-6
UCLA 2018,3-9
USC 2018,5-7
Colorado State 2018,3-9
Colorado 2018,5-7
Connecticut 2018,1-11
Florida State 2018,5-7
Florida 2018,10-3
South Florida 2018,7-6
Georgia Tech 2018,7-6
Georgia 2018,11-3
Hawai'i 2018,8-6
Iowa State 2018,8-5
Boise State 2018,10-3
Northwestern 2018,9-5
Indiana 2018,5-7
Notre Dame 2018,12-1
Kentucky 2018,9-4
Louisville 2018,2-10
Western Kentucky 2018,3-9
LSU 2018,10-3
Boston College 2018,7-5
UMass 2018,4-8
Maryland 2018,5-7
Michigan State 2018,7-6
Michigan 2018,10-3
Minnesota 2018,7-6
Missouri 2018,9-4
Ole Miss 2018,5-7
Duke 2018,8-5
East Carolina 2018,3-9
NC State 2018,9-4
North Carolina 2018,2-9
Wake Forest 2018,7-6
Nebraska 2018,4-8
Rutgers 2018,1-11
New Mexico State 2018,3-9
New Mexico 2018,3-9
Syracuse 2018,10-3
Bowling Green 2018,3-9
Miami (OH) 2018,6-6
Ohio State 2018,13-1
Ohio 2018,9-4
Oklahoma State 2018,7-6
Oklahoma 2018,12-2
Tulsa 2018,3-9
Oregon State 2018,2-10
Penn State 2018,9-4
Temple 2018,8-5
Pittsburgh 2018,7-7
Clemson 2018,15-0
Memphis 2018,8-6
Vanderbilt 2018,6-7
Baylor 2018,7-6
Rice 2018,2-11
Texas A&M 2018,9-4
Houston 2018,8-5
North Texas 2018,9-4
Texas 2018,10-4
BYU 2018,7-6
Utah 2018,9-5
Virginia 2018,8-5
Virginia Tech 2018,6-7
Washington 2018,10-4
Washington State 2018,11-2
Wisconsin 2018,8-5
Marshall 2018,9-4
West Virginia 2018,8-4
Fresno State 2018,12-2
Georgia Southern 2018,10-3
Old Dominion 2018,4-8
Louisiana 2018,7-7
Coastal Carolina 2018,5-7
Texas State 2018,3-9
Utah State 2018,11-2
Alabama 2018,14-1
Mississippi State 2018,8-5
Army 2018,11-2
Illinois 2018,4-8
Air Force 2018,5-7
Akron 2018,4-8
Appalachian State 2018,11-2
Arkansas State 2018,8-5
Ball State 2018,4-8
Buffalo 2018,10-4
UCF 2018,12-1
Central Michigan 2018,1-11
Cincinnati 2018,11-2
Eastern Michigan 2018,7-6
Florida Atlantic 2018,5-7
Florida International 2018,9-4
Georgia State 2018,2-10
Iowa 2018,9-4
Kansas 2018,3-9
Kansas State 2018,5-7
Kent State 2018,2-10
Liberty 2018,6-6
Louisiana Tech 2018,8-5
Miami 2018,7-6
Middle Tennessee 2018,8-6
Navy 2018,3-10
Charlotte 2018,5-7
Louisiana Monroe 2018,6-6
UNLV 2018,4-8
Nevada 2018,8-5
Northern Illinois 2018,8-6
Oregon 2018,9-4
Purdue 2018,6-7
SMU 2018,5-7
Southern Mississippi 2018,6-5
South Carolina 2018,7-6
TCU 2018,7-6
Tennessee 2018,5-7
UT San Antonio 2018,3-9
UTEP 2018,1-11
Texas Tech 2018,5-7
Toledo 2018,7-6
Troy 2018,10-3
Tulane 2018,7-6
Western Michigan 2018,7-6
Wyoming 2018,6-6
Auburn 2019,9-4
UAB 2019,9-5
South Alabama 2019,2-10
Arkansas 2019,2-10
Arizona State 2019,8-5
Arizona 2019,4-8
San Diego State 2019,10-3
San José State 2019,5-7
Stanford 2019,4-8
California 2019,8-5
UCLA 2019,4-8
USC 2019,8-5
Colorado State 2019,4-8
Colorado 2019,5-7
Connecticut 2019,2-10
Florida State 2019,6-7
Florida 2019,11-2
South Florida 2019,4-8
Georgia Tech 2019,3-9
Georgia 2019,12-2
Hawai'i 2019,10-5
Iowa State 2019,7-6
Boise State 2019,12-2
Northwestern 2019,3-9
Indiana 2019,8-5
Notre Dame 2019,11-2
Kentucky 2019,8-5
Louisville 2019,8-5
