team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_ppa,d_success_rate,d_explosiveness,d_power_success,d_stuff_rate,d_standard_downs_rate,d_line_yards,d_open_field_yards,d_second_level_yards,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa
UAB 2005,24.1,360.8,18.3,220.0,29.4,17.8,1.4,147.8,37.5,1.3,1.8,0.4074074074074074,0.5605381165919282,0.40964523281596454,0.6054421768707483,3.9413333333333336,7.482993197278912,0.0696651207481855,0.4488448844884488,0.8602251809446765,0.6666666666666666,0.2074303405572755,0.7062706270627063,2.736222910216718,0.6377708978328174,0.9009287925696594,0.4210526315789473,0.6549131889658321,-0.0532551782354291,0.449438202247191,1.2431577250726271,0.2385181918897396
UAB 2006,24.75,359.25,18.666666666666668,225.33333333333334,26.416666666666668,16.666666666666668,1.5833333333333333,146.75,34.083333333333336,1.25,2.1666666666666665,0.42567567567567566,0.5633608815426998,0.40848990953375086,0.6309148264984227,4.30562347188264,8.529968454258675,0.0656503447191576,0.4285714285714285,0.9022048827619245,0.6410256410256411,0.2191780821917808,0.6789250353606789,2.7986301369863016,0.6712328767123288,0.9753424657534246,0.4054794520547945,0.6788482603235921,-0.0435857254231839,0.4298780487804878,1.225191630737242,0.1895642270758727
UAB 2008,31.25,429.9166666666667,20.0,267.5833333333333,30.083333333333332,18.833333333333332,1.8333333333333333,167.0,35.0,2.0833333333333335,2.0,0.4503311258278146,0.5377720870678617,0.38844737352200037,0.6260387811634349,4.771428571428571,8.894736842105264,0.1105534086218857,0.4317507418397626,1.0276536253103512,0.5227272727272727,0.2346041055718475,0.6913946587537092,2.7155425219941347,1.1700879765395893,1.0410557184750733,0.4164222873900293,0.8246662712707127,-0.0059842243708755,0.4334365325077399,1.276891106798395,0.2336751856586465
UAB 2009,32.333333333333336,455.1666666666667,24.166666666666668,321.9166666666667,37.166666666666664,24.166666666666668,2.25,143.66666666666666,34.25,1.75,1.9166666666666667,0.44910179640718567,0.47957992998833143,0.31563529842548516,0.6502242152466369,4.194647201946472,8.661434977578477,0.0800268713464761,0.4514705882352941,0.8907268699925702,0.6666666666666666,0.2364217252396166,0.6808823529411765,2.708306709265176,0.744408945686901,0.8785942492012779,0.4089456869009584,0.6098972047660014,-0.0918974915286463,0.4719101123595505,1.1981038758684222,0.2502172236862194
UAB 2010,31.583333333333332,398.8333333333333,20.666666666666668,261.0,33.333333333333336,19.333333333333332,2.0,150.58333333333334,35.916666666666664,1.5833333333333333,1.5,0.3941176470588235,0.5186522262334536,0.3775595486836607,0.58,4.192575406032483,7.829999999999999,0.0904986864329913,0.4183673469387755,0.9401150241727032,0.5581395348837209,0.2025974025974026,0.6696428571428571,2.8825974025974026,0.8415584415584415,1.1272727272727272,0.4051948051948052,0.7776816606830597,0.0110787014099175,0.4026315789473684,1.2130862285191832,0.171706511110507
UAB 2011,36.75,485.5833333333333,25.916666666666668,287.6666666666667,33.583333333333336,23.833333333333332,2.1666666666666665,203.33333333333334,38.833333333333336,2.1666666666666665,1.9166666666666667,0.46527777777777773,0.5362485615650172,0.4187403466620903,0.7096774193548386,5.236051502145923,8.56575682382134,0.1873841934946142,0.5479274611398963,0.8055328678890964,0.7213114754098361,0.1492537313432835,0.7746113989637305,3.5253731343283583,0.8059701492537313,1.3258706467661692,0.5447761194029851,0.6203540016480252,0.0917519006277389,0.5376044568245125,1.08316953827191,0.3118250068406671
UAB 2012,37.5,427.25,21.666666666666668,244.58333333333334,29.666666666666668,19.333333333333332,1.8333333333333333,182.66666666666666,39.75,2.75,1.5,0.43478260869565216,0.5726290516206483,0.42754047201092255,0.6516853932584269,4.59538784067086,8.24438202247191,0.0906180665788971,0.4141414141414141,0.9382216507728396,0.627906976744186,0.2127659574468085,0.7070707070707071,2.899527186761229,0.9905437352245864,1.0756501182033098,0.3853427895981087,0.7978010845659838,0.0214497080474277,0.423728813559322,1.202454190260623,0.1846590002719831
UAB 2013,43.75,497.8333333333333,24.583333333333332,276.5,29.583333333333332,19.333333333333332,2.6666666666666665,221.33333333333334,39.5,2.9166666666666665,1.1666666666666667,0.46,0.571773220747889,0.4445932373619016,0.6535211267605634,5.60337552742616,9.346478873239437,0.189099609479299,0.4592105263157894,1.040270100851702,0.68,0.2065727699530516,0.7131578947368421,2.9838028169014086,1.8262910798122065,1.2746478873239435,0.4460093896713615,0.8502338095161677,0.0947478459749509,0.4598765432098765,1.3915196838119792,0.3369744207337993
UAB 2014,29.916666666666668,406.0833333333333,20.416666666666668,231.0,32.0,17.0,2.0,175.08333333333334,39.5,1.5,1.5833333333333333,0.35195530726256985,0.5524475524475524,0.43115124153498874,0.53125,4.432489451476793,7.21875,0.1500174631271257,0.4019975031210986,1.322825809801051,0.7916666666666666,0.2203389830508474,0.6441947565543071,2.823728813559322,1.4479418886198547,1.1864406779661016,0.4261501210653753,1.0042328257935758,0.1369017324508138,0.3648293963254593,1.793835619766597,0.1673537800365604
UAB 2017,25.615384615384617,365.61538461538464,19.53846153846154,189.69230769230768,29.846153846153847,15.538461538461538,1.3846153846153846,175.92307692307693,38.0,1.4615384615384615,1.4615384615384615,0.36363636363636365,0.5600907029478459,0.4811697875026299,0.520618556701031,4.629554655870446,6.355670103092783,0.11629531224111,0.3919821826280623,1.290431708590728,0.6,0.2320675105485232,0.623608017817372,2.699367088607595,1.419831223628692,1.2362869198312236,0.3966244725738396,1.0702752917360798,0.1105718544301379,0.3557213930348258,1.7747693751906422,0.1360369336053805
