season,team,conference,stat_name,stat_value
2014,Oregon,Pac-12,interceptions,4
2014,Virginia,ACC,interceptionYards,130
2014,Georgia Southern,Sun Belt,possessionTime,23230
2014,Virginia Tech,ACC,puntReturnYards,315
2014,USC,Pac-12,puntReturnTDs,2
2014,Air Force,Mountain West,kickReturnTDs,0
2014,Bowling Green,Mid-American,turnovers,23
2014,Louisiana Monroe,Sun Belt,interceptionTDs,1
2014,Virginia Tech,ACC,turnovers,26
2014,Georgia Tech,ACC,passCompletions,106
2014,Ball State,Mid-American,interceptions,7
2014,Eastern Michigan,Mid-American,turnovers,30
2014,Purdue,Big Ten,penalties,60
2014,Appalachian State,Sun Belt,turnovers,21
2014,Ball State,Mid-American,firstDowns,243
2014,NC State,ACC,interceptions,6
2014,UCLA,Pac-12,thirdDownConversions,87
2014,Utah State,Mountain West,games,14
2014,Fresno State,Mountain West,interceptions,21
2014,Middle Tennessee,Conference USA,puntReturnYards,272
2014,Rice,Conference USA,totalYards,5190
2014,West Virginia,Big 12,penaltyYards,757
2014,Utah State,Mountain West,turnovers,21
2014,Troy,Sun Belt,rushingYards,1971
2014,East Carolina,American Athletic,thirdDownConversions,92
2014,Miami,ACC,puntReturnYards,158
2014,Middle Tennessee,Conference USA,totalYards,5176
2014,North Texas,Conference USA,interceptionYards,198
2014,UNLV,Mountain West,thirdDowns,215
2014,NC State,ACC,kickReturnTDs,0
2014,Colorado,Pac-12,passCompletions,348
2014,Utah,Pac-12,totalYards,5045
2014,Colorado State,Mountain West,rushingAttempts,435
2014,Arkansas,SEC,passCompletions,199
2014,Idaho,Sun Belt,passCompletions,257
2014,Louisiana Monroe,Sun Belt,passCompletions,317
2014,Illinois,Big Ten,rushingAttempts,413
2014,Missouri,SEC,possessionTime,24280
2014,Utah State,Mountain West,interceptions,11
2014,South Florida,American Athletic,possessionTime,20251
2014,Texas A&M,SEC,possessionTime,20423
2014,TCU,Big 12,interceptions,11
2014,Utah,Pac-12,possessionTime,22925
2014,Western Kentucky,Conference USA,kickReturnYards,1166
2014,Connecticut,American Athletic,firstDowns,178
2014,Miami (OH),Mid-American,passingTDs,23
2014,Texas A&M,SEC,puntReturns,21
2014,Nevada,Mountain West,netPassingYards,2498
2014,Louisiana Tech,Conference USA,fumblesLost,13
2014,Florida State,ACC,rushingAttempts,451
2014,East Carolina,American Athletic,fourthDowns,24
2014,Navy,FBS Independents,passingTDs,9
2014,Texas Tech,Big 12,rushingYards,1836
2014,East Carolina,American Athletic,rushingAttempts,433
2014,Central Michigan,Mid-American,rushingTDs,19
2014,Vanderbilt,SEC,kickReturnTDs,2
2014,Idaho,Sun Belt,penalties,74
2014,Illinois,Big Ten,possessionTime,21936
2014,East Carolina,American Athletic,penaltyYards,1004
2014,NC State,ACC,puntReturnYards,66
2014,Baylor,Big 12,kickReturns,40
2014,Western Kentucky,Conference USA,thirdDowns,180
2014,Kent State,Mid-American,passesIntercepted,8
2014,Alabama,SEC,fumblesRecovered,9
2014,Central Michigan,Mid-American,games,13
2014,Louisville,ACC,netPassingYards,3276
2014,East Carolina,American Athletic,possessionTime,23122
2014,Arkansas,SEC,possessionTime,26599
2014,Memphis,American Athletic,fumblesRecovered,14
2014,Georgia State,Sun Belt,fourthDowns,16
2014,Louisville,ACC,rushingAttempts,511
2014,Western Kentucky,Conference USA,passingTDs,49
2014,Stanford,Pac-12,passesIntercepted,12
2014,Memphis,American Athletic,netPassingYards,3076
2014,Boston College,ACC,passCompletions,135
2014,Indiana,Big Ten,totalYards,4860
2014,West Virginia,Big 12,puntReturnYards,82
2014,Appalachian State,Sun Belt,passingTDs,21
2014,Virginia Tech,ACC,kickReturnTDs,0
2014,Fresno State,Mountain West,rushingAttempts,566
2014,UTEP,Conference USA,kickReturnTDs,2
2014,Old Dominion,Conference USA,passingTDs,30
2014,Missouri,SEC,firstDowns,270
2014,Syracuse,ACC,games,12
2014,Oregon,Pac-12,games,15
2014,Cincinnati,American Athletic,penaltyYards,542
2014,Tulane,American Athletic,penaltyYards,813
2014,Louisiana,Sun Belt,totalYards,5419
2014,Louisiana Tech,Conference USA,rushingYards,2080
2014,East Carolina,American Athletic,penalties,109
2014,Miami (OH),Mid-American,netPassingYards,3333
2014,South Alabama,Sun Belt,netPassingYards,2561
2014,Wyoming,Mountain West,interceptionTDs,0
2014,NC State,ACC,fumblesRecovered,10
2014,Illinois,Big Ten,thirdDowns,187
2014,UAB,Conference USA,interceptions,12
2014,Iowa,Big Ten,fourthDownConversions,14
2014,Louisville,ACC,passAttempts,428
