rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,sacks,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,qbHurries,passesDeflected,team,home_away,points,game_id,season,week,season_type
2,,,,2,,,,7,77,0,5,0,4,0,30:54,1,0,1,9-85,4.2,24,101,8.2,32-49,402,503,0-1,4-12,27,4,0,82,10,12,San José State,away,31,401110798,2019,4,regular
0,,,,3,61,0,3,6,-7,0,1,0,,2,29:06,5,0,5,6-62,4.1,32,131,7.1,28-50,356,487,1-3,6-15,26,3,0,70,5,16,Arkansas,home,24,401110798,2019,4,regular
0,0,0,3,2,20,0,1,8,,,,0,6,2,31:38,0,1,1,8-50,2.7,21,56,6.8,31-49,335,391,0-0,5-14,23,16,0,30,4,4,Texas A&M,home,20,401110804,2019,4,regular
2,52,0,2,2,31,0,1,4,,,,2,2,3,28:22,0,0,0,12-74,4.6,42,193,5.0,13-21,106,299,0-0,4-12,16,7,0,40,7,8,Auburn,away,28,401110804,2019,4,regular
4,64,0,3,7,,,,10,0,0,1,4,4,10,27:02,0,1,1,6-52,5.4,42,227,12.5,22-30,374,601,2-2,1-5,30,13,0,30,1,4,Ohio State,home,76,401112253,2019,4,regular
0,,,,0,11,0,2,3,,,,2,4,4,32:58,1,2,3,4-50,1.6,43,70,3.0,7-20,60,130,1-1,4-17,10,6,0,82,0,2,Miami (OH),away,5,401112253,2019,4,regular
4,4,0,4,2,30,0,2,9,43,0,3,4,4,4,32:00,0,1,1,16-161,6.2,46,285,6.8,20-30,204,489,0-1,4-13,25,6,0,33,6,14,Louisiana,away,45,401119268,2019,4,regular
2,-3,0,3,1,64,0,3,7,,,,2,4,3,28:00,3,2,5,5-44,3.7,28,103,7.3,18-38,277,380,1-1,5-15,23,8,0,39,4,6,Ohio,home,25,401119268,2019,4,regular
2,,,,1,71,0,4,2,,,,0,2,1,28:37,2,0,2,6-61,3.8,41,154,6.2,23-33,206,360,0-1,3-12,20,8,0,116,0,4,Bowling Green,away,20,401119266,2019,4,regular
3,10,0,1,5,32,0,2,14,23,0,2,0,2,2,31:23,0,0,0,7-80,7.8,48,375,10.4,31-36,375,750,0-1,10-17,34,10,0,94,2,0,Kent State,home,62,401119266,2019,4,regular
2,,,,3,25,0,1,5,0,0,1,2,2,4,41:17,1,0,1,3-24,4.8,56,270,5.5,29-39,215,485,2-3,12-19,32,4,0,21,2,0,Troy,away,35,401119269,2019,4,regular
0,,,,1,45,0,3,1,40,0,1,0,4,0,18:43,1,1,2,6-41,2.2,18,39,6.3,16-32,203,242,0-2,3-12,10,16,0,47,2,4,Akron,home,7,401119269,2019,4,regular
3,-8,0,1,1,55,0,2,9,,,,0,,0,33:37,1,0,1,11-82,8.0,36,289,7.5,32-54,405,694,2-2,5-15,36,1,0,46,2,8,Colorado State,home,35,401117507,2019,4,regular
4,16,0,3,1,,,,11,0,0,1,0,,1,26:23,0,0,0,10-100,9.5,46,436,7.4,6-15,111,547,2-2,3-13,20,6,0,74,10,6,Toledo,away,41,401117507,2019,4,regular
3,12,0,1,4,79,0,5,10,7,0,1,6,4,3,30:09,0,2,2,11-103,5.5,47,258,8.2,27-35,287,545,1-1,8-16,25,6,0,74,16,18,Syracuse,home,52,401112462,2019,4,regular
3,2,0,1,2,52,0,2,3,,,,4,6,3,29:51,1,3,4,8-80,5.9,34,201,7.7,23-46,356,557,1-5,7-16,25,8,0,50,6,2,Western Michigan,away,33,401112462,2019,4,regular
3,112,1,3,0,100,0,5,10,0,0,1,0,,4,30:00,2,0,2,9-62,4.5,41,186,5.4,19-34,185,371,0-1,10-17,23,14,1,55,8,7,NC State,home,34,401112460,2019,4,regular
2,11,0,2,0,22,0,1,11,0,0,2,0,4,0,30:00,1,0,1,7-55,2.8,30,84,5.8,35-57,333,417,0-2,9-21,25,4,0,96,2,6,Ball State,away,23,401112460,2019,4,regular
3,,,,1,13,0,1,3,21,0,2,0,2,0,30:41,0,1,1,4-35,3.3,35,115,10.5,17-22,231,346,0-1,4-10,16,12,0,34,2,2,Central Connecticut,away,29,401119267,2019,4,regular
0,50,1,2,4,38,0,1,2,,,,2,4,4,29:19,2,0,2,4-60,3.2,29,94,7.2,26-39,279,373,3-4,4-14,21,2,2,68,2,4,Eastern Michigan,home,34,401119267,2019,4,regular
1,16,0,1,1,21,0,1,5,0,0,1,4,4,4,27:14,0,1,1,13-93,1.5,34,51,10.4,17-24,250,301,1-2,1-10,16,18,0,58,8,7,Miami,home,17,401112458,2019,4,regular
1,16,0,3,0,70,0,2,4,,,,2,6,8,32:46,1,2,3,9-60,1.1,27,31,4.3,23-51,217,248,2-2,6-18,21,9,0,68,3,8,Central Michigan,away,12,401112458,2019,4,regular
0,7,0,1,3,51,0,1,4,0,0,1,2,4,1,22:51,3,1,4,7-57,1.3,23,31,5.1,25-51,258,289,4-8,2-16,16,7,0,43,1,2,Temple,away,22,401117870,2019,4,regular
4,,,,0,,,,8,46,1,3,2,2,3,37:09,1,1,2,7-55,3.7,58,217,4.1,9-15,62,279,1-1,6-16,17,6,1,35,0,10,Buffalo,home,38,401117870,2019,4,regular
1,10,0,1,2,37,0,2,6,,,,0,4,2,33:42,1,1,2,7-54,2.6,47,124,10.2,16-28,286,410,2-3,5-17,18,5,0,45,4,2,Louisville,away,24,401112457,2019,4,regular
3,14,0,3,2,18,0,3,5,3,0,1,2,2,12,26:18,0,0,0,5-36,3.4,41,140,11.2,26-34,382,522,0-1,5-14,26,11,0,41,4,3,Florida State,home,35,401112457,2019,4,regular
0,15,0,3,1,50,0,2,10,,,,0,2,0,29:36,1,1,2,11-100,2.9,26,76,8.9,23-34,304,380,1-1,4-15,14,4,0,29,3,2,Rutgers,home,16,401112265,2019,4,regular
4,6,0,1,0,18,0,2,6,0,0,1,2,0,0,30:24,0,0,0,8-50,4.5,61,277,6.1,13-26,159,436,2-2,9-19,27,4,0,70,0,4,Boston College,away,30,401112265,2019,4,regular
1,,,,0,10,0,5,4,0,0,1,2,0,1,34:27,1,0,1,11-106,3.9,39,153,3.3,8-19,63,216,0-1,4-15,11,4,0,92,0,1,Charlotte,away,10,401112456,2019,4,regular
3,33,0,3,3,1,0,1,10,66,1,1,0,2,4,25:33,1,1,2,5-42,6.0,39,235,9.2,17-25,231,466,1-1,5-9,27,7,2,68,3,10,Clemson,home,52,401112456,2019,4,regular
0,16,0,2,1,15,0,2,1,0,0,1,0,4,0,28:50,0,0,0,2-14,2.7,35,95,4.6,10-19,88,183,0-0,5-14,11,4,0,92,0,10,Elon,away,7,401112464,2019,4,regular
1,85,0,6,6,25,0,3,7,,,,0,6,4,31:10,1,0,1,5-55,5.1,42,214,9.8,32-40,393,607,3-3,7-14,32,8,0,30,4,2,Wake Forest,home,49,401112464,2019,4,regular
3,,,,0,19,0,2,10,19,0,2,2,0,3,29:29,1,0,1,6-50,4.6,35,161,7.7,20-29,224,385,0-0,7-15,16,4,2,47,4,2,Appalachian State,away,34,401112459,2019,4,regular
1,5,0,1,3,129,0,5,7,2,0,1,0,4,4,30:31,2,1,3,5-40,3.7,40,146,7.7,27-42,323,469,2-2,7-16,29,14,0,38,2,6,North Carolina,home,31,401112459,2019,4,regular
1,,,,1,42,0,2,5,,,,0,,4,35:16,1,0,1,5-40,1.5,44,64,7.9,16-26,206,270,3-5,4-16,16,5,0,26,0,14,Old Dominion,away,17,401112463,2019,4,regular
2,10,0,2,1,119,0,4,4,22,1,1,0,,12,24:44,0,0,0,7-70,2.4,29,69,7.3,15-24,175,244,1-2,1-11,14,22,1,64,0,3,Virginia,home,28,401112463,2019,4,regular
1,,,,2,18,0,1,3,,,,4,4,2,25:20,3,1,4,11-72,2.5,31,78,7.9,15-29,230,308,2-4,6-16,12,6,0,45,0,2,Morgan State,away,21,401114327,2019,4,regular
6,10,0,2,1,47,0,4,10,71,0,3,2,6,0,34:40,0,2,2,7-50,5.8,69,403,11.4,1-7,80,483,3-3,4-11,30,2,0,58,2,1,Army,home,52,401114327,2019,4,regular
1,-6,0,3,4,45,0,3,4,47,0,2,0,4,2,30:41,1,2,3,6-65,5.0,43,217,10.0,20-28,281,498,0-1,8-14,26,12,0,120,2,6,Texas,home,36,401112125,2019,4,regular
3,,,,0,36,0,2,12,22,0,1,4,4,0,29:19,2,0,2,9-69,4.0,56,226,8.1,19-33,268,494,0-2,9-19,26,3,0,88,4,3,Oklahoma State,away,30,401112125,2019,4,regular
1,,,,0,41,0,2,7,,,,4,4,4,32:15,0,1,1,1-5,1.8,35,64,5.7,18-31,178,242,1-2,8-18,17,12,0,32,6,6,Rice,home,13,401112075,2019,4,regular
2,,,,1,45,0,3,3,,,,2,6,6,27:45,0,2,2,6-60,3.5,35,124,10.8,20-28,303,427,0-1,7-12,20,16,0,76,4,10,Baylor,away,21,401112075,2019,4,regular
1,,,,2,171,0,9,2,14,0,1,2,2,0,32:46,2,1,3,4-22,5.0,42,210,5.7,22-38,215,425,0-3,8-17,22,0,0,76,4,1,Louisiana Monroe,away,20,401112087,2019,4,regular
4,13,0,2,4,35,0,1,18,73,1,2,2,2,3,27:14,1,1,2,4-45,7.3,37,270,14.8,22-30,444,714,0-0,5-8,31,6,1,39,4,7,Iowa State,home,72,401112087,2019,4,regular
3,16,0,1,0,38,0,2,11,0,0,1,2,0,4,37:41,0,0,0,5-41,4.0,48,192,5.5,25-37,202,394,0-1,9-18,25,10,0,26,0,2,West Virginia,away,29,401112099,2019,4,regular
0,,,,3,37,0,2,6,,,,0,2,3,22:19,1,1,2,4-45,4.7,30,142,10.6,19-26,275,417,0-0,4-10,20,16,0,51,4,4,Kansas,home,24,401112099,2019,4,regular
3,3,0,1,2,45,0,4,9,,,,6,2,3,29:55,1,0,1,6-45,2.5,48,118,8.5,23-34,288,406,1-2,9-20,16,14,0,47,6,12,SMU,away,41,401112131,2019,4,regular
2,30,0,3,3,74,0,5,8,0,0,1,0,12,2,30:05,0,3,3,5-60,5.6,42,236,5.2,16-36,188,424,0-2,8-16,23,4,0,49,3,5,TCU,home,38,401112131,2019,4,regular
1,87,1,1,2,26,0,1,10,,,,2,2,2,24:18,2,0,2,7-74,2.5,34,85,8.0,25-42,338,423,2-4,4-16,20,10,1,52,8,20,UCF,away,34,401112461,2019,4,regular
1,36,1,4,3,63,0,3,5,13,0,2,0,4,6,35:42,0,1,1,8-95,5.3,37,196,4.8,28-51,243,439,2-2,5-17,30,24,1,43,14,5,Pittsburgh,home,35,401112461,2019,4,regular
0,13,0,2,2,88,0,5,5,,,,0,4,0,36:55,1,0,1,7-61,2.0,46,91,7.6,20-37,281,372,2-4,8-19,25,12,0,39,0,12,San Diego State,home,17,401117508,2019,4,regular
1,,,,0,59,0,3,11,48,1,1,0,4,4,23:05,0,0,0,3-30,3.0,27,82,6.2,30-47,293,375,0-0,8-16,23,20,1,59,1,10,Utah State,away,23,401117508,2019,4,regular
1,,,,1,,,,7,,,,0,2,1,34:12,1,0,1,2-10,4.7,51,242,8.7,8-13,113,355,0-1,6-13,19,10,0,70,0,6,Air Force,away,19,401117506,2019,4,regular
2,,,,2,33,0,2,6,50,0,1,0,2,2,25:48,0,0,0,2-10,3.3,29,95,9.3,20-28,260,355,1-1,5-11,17,8,0,46,0,2,Boise State,home,30,401117506,2019,4,regular
1,19,0,2,2,,,,6,,,,0,2,1,33:11,0,1,1,6-40,1.9,43,83,7.1,25-50,354,437,3-5,9-22,27,4,0,54,2,7,Tulsa,home,24,401117509,2019,4,regular
2,1,0,1,1,36,0,1,3,,,,0,2,7,26:49,0,1,1,7-59,4.2,34,143,6.7,10-32,214,357,1-2,3-15,16,14,0,84,7,18,Wyoming,away,21,401117509,2019,4,regular
4,,,,3,98,0,2,10,17,0,1,0,4,0,26:54,1,0,1,7-56,4.5,34,154,7.1,30-47,335,489,1-1,8-14,29,4,0,82,0,6,New Mexico State,away,52,401114340,2019,4,regular
3,5,0,1,3,36,0,2,13,43,1,1,0,2,4,33:06,1,0,1,9-80,4.8,51,243,12.7,16-28,355,598,1-1,8-15,27,3,2,90,12,2,New Mexico,home,55,401114340,2019,4,regular
0,,,,3,18,0,1,0,,,,4,2,6,22:14,0,1,1,12-139,0.7,17,12,5.7,22-41,233,245,0-1,4-14,14,14,0,80,8,3,Sacramento State,away,20,401117510,2019,4,regular
3,27,0,3,2,37,0,2,4,,,,2,6,3,37:46,0,2,2,7-61,3.7,39,145,7.8,28-42,326,471,1-1,7-14,30,14,0,52,4,16,Fresno State,home,34,401117510,2019,4,regular
3,3,0,2,0,14,0,1,3,0,0,1,2,0,0,34:55,3,0,3,7-82,3.4,47,162,6.8,10-17,116,278,3-4,3-11,17,1,0,50,4,2,UTEP,home,21,401114266,2019,4,regular
3,1,0,1,2,,,,7,16,0,3,0,2,6,25:05,1,1,2,4-28,5.2,37,193,9.5,16-22,210,403,0-0,6-10,19,8,0,54,4,0,Nevada,away,37,401114266,2019,4,regular
1,,,,1,69,0,3,4,0,0,1,6,2,1,30:41,1,0,1,6-45,6.3,23,146,3.6,29-53,189,335,0-3,5-16,18,1,0,80,0,4,Central Arkansas,away,16,401117511,2019,4,regular
0,2,0,2,4,53,0,3,5,55,1,1,0,8,2,29:19,1,3,4,7-75,4.7,24,113,9.4,25-32,300,413,1-1,4-7,23,8,2,41,6,8,Hawai'i,home,35,401117511,2019,4,regular
1,30,0,2,0,22,0,2,4,,,,2,2,2,31:46,3,0,3,3-25,3.2,44,139,3.4,19-37,126,265,1-4,8-20,17,5,0,84,6,10,Northwestern,home,10,401112215,2019,4,regular
1,32,0,5,3,31,0,1,7,21,0,3,0,4,2,28:14,0,1,1,5-47,2.7,40,109,7.4,18-31,228,337,1-1,6-15,19,16,0,54,8,5,Michigan State,away,31,401112215,2019,4,regular
5,39,0,4,0,11,0,1,5,6,0,2,4,0,4,41:07,0,0,0,9-69,6.3,57,359,8.0,13-16,128,487,3-3,5-13,25,12,0,54,7,11,Wisconsin,home,35,401112224,2019,4,regular
0,20,0,3,2,,,,,,,,0,6,2,18:53,2,2,4,3-45,2.1,19,40,6.2,17-42,259,299,3-4,0-11,15,2,0,49,0,2,Michigan,away,14,401112224,2019,4,regular
0,12,0,1,0,,,,3,1,0,1,2,0,1,24:08,1,0,1,7-45,2.3,22,51,3.1,15-30,94,145,1-2,3-14,9,2,0,49,2,0,Connecticut,away,3,401112160,2019,4,regular
1,15,0,3,3,11,0,1,8,44,1,1,0,2,4,35:52,1,1,2,5-45,4.5,40,178,9.0,24-28,252,430,0-0,8-10,25,5,2,34,3,2,Indiana,home,38,401112160,2019,4,regular
4,5,0,1,1,158,0,6,8,,,,8,2,4,22:56,1,0,1,4-30,5.8,38,221,3.3,9-24,78,299,0-1,1-12,14,15,0,58,0,3,Illinois,home,38,401112148,2019,4,regular
3,-3,0,3,3,18,0,1,4,9,0,1,0,10,4,37:04,0,4,4,10-70,5.4,64,346,9.6,22-34,328,674,1-2,11-19,32,22,0,74,1,10,Nebraska,away,42,401112148,2019,4,regular
6,,,,3,45,0,2,8,11,0,1,0,,4,34:43,1,0,1,3-36,7.3,46,334,11.2,24-27,302,636,1-1,5-9,35,12,0,88,0,10,Coastal Carolina,away,62,401114355,2019,4,regular
2,-1,0,1,2,297,0,10,4,13,0,1,0,,1,25:17,1,0,1,7-69,2.9,37,109,6.1,22-36,220,329,3-4,5-14,20,3,0,45,0,2,UMass,home,28,401114355,2019,4,regular
0,9,0,2,0,64,0,2,6,,,,0,,8,34:21,1,0,1,6-45,3.5,33,114,4.0,16-30,120,234,0-2,5-16,13,14,0,66,4,2,Stanford,home,6,401114195,2019,4,regular
0,0,0,1,3,22,0,1,3,3,0,1,0,2,10,25:39,0,0,0,2-30,2.0,30,61,10.8,19-24,259,320,0-0,5-12,17,8,0,42,4,8,Oregon,away,21,401114195,2019,4,regular
1,,,,1,48,0,1,7,33,0,1,4,6,0,25:30,1,2,3,9-80,2.9,27,79,6.6,26-42,277,356,2-4,3-13,21,6,0,88,0,0,BYU,home,19,401114235,2019,4,regular
1,86,1,2,3,,,,9,0,0,1,4,4,2,34:30,1,1,2,10-79,4.8,39,187,10.4,24-28,290,477,0-1,6-10,27,4,1,82,1,5,Washington,away,45,401114235,2019,4,regular
6,-1,0,5,2,110,0,5,8,45,1,1,0,4,4,24:14,0,1,1,6-65,6.7,38,256,18.8,10-17,319,575,0-0,4-9,21,18,2,76,1,1,Liberty,home,62,401114349,2019,4,regular
0,1,0,1,3,21,0,2,1,,,,2,4,4,35:46,1,0,1,5-36,3.1,37,113,11.2,20-26,292,405,0-1,2-12,18,6,0,64,2,2,Hampton,away,27,401114349,2019,4,regular
2,69,1,1,5,128,1,6,11,6,0,2,8,2,2,29:27,1,0,1,10-105,4.1,37,150,13.3,25-38,507,657,1-2,3-11,28,4,2,82,8,7,UCLA,away,67,401114215,2019,4,regular
0,45,0,2,9,23,0,1,9,11,0,1,0,8,2,30:33,2,4,6,7-38,7.1,21,150,9.3,41-61,570,720,0-1,8-13,28,5,0,40,18,4,Washington State,home,63,401114215,2019,4,regular
1,,,,1,15,0,1,11,29,0,1,2,2,1,38:12,0,1,1,16-120,5.0,49,247,7.0,22-30,210,457,1-2,5-13,27,4,0,64,0,2,Utah,away,23,401114220,2019,4,regular
1,,,,3,135,0,6,4,,,,2,2,4,21:48,1,1,2,11-117,0.6,22,13,11.5,23-32,368,381,0-0,5-10,16,6,0,44,0,8,USC,home,30,401114220,2019,4,regular
1,9,0,1,3,98,0,4,10,0,0,1,0,2,1,31:56,0,1,1,3-30,3.5,40,138,11.2,23-30,337,475,1-1,10-17,20,4,0,37,0,3,Colorado,away,34,401114155,2019,4,regular
2,,,,2,56,0,2,7,,,,2,0,0,28:04,1,0,1,3-39,3.9,28,108,8.8,24-39,345,453,0-1,8-13,21,6,0,46,0,3,Arizona State,home,31,401114155,2019,4,regular
0,4,0,1,1,37,0,2,1,,,,0,2,2,36:30,1,0,1,8-67,-0.2,25,-6,5.6,22-39,218,212,2-3,4-15,14,10,0,36,2,2,Wagner,away,7,401114263,2019,4,regular
1,5,0,3,5,36,0,2,6,0,0,1,0,,1,23:30,0,0,0,12-95,3.9,31,120,10.2,27-38,387,507,0-0,11-15,27,18,0,50,3,1,Florida Atlantic,home,42,401114263,2019,4,regular
3,,,,0,82,1,4,19,18,0,1,2,2,3,36:47,1,0,1,5-38,6.4,43,275,7.1,27-41,290,565,0-0,10-17,31,4,1,70,2,8,Louisiana Tech,home,43,401114262,2019,4,regular
2,,,,2,107,0,9,7,0,0,1,0,2,1,23:13,1,1,2,4-50,5.1,26,132,9.6,29-41,394,526,2-3,2-10,29,10,0,106,6,4,Florida International,away,31,401114262,2019,4,regular
0,11,0,2,0,26,0,5,3,,,,0,4,0,30:12,2,2,4,1-15,4.0,42,167,3.2,17-40,128,295,2-7,6-20,18,14,0,78,2,1,UT San Antonio,away,3,401114264,2019,4,regular
3,13,0,1,3,,,,9,0,0,2,4,2,6,29:48,0,0,0,4-38,6.6,44,290,8.1,17-26,211,501,0-2,7-14,25,6,0,30,5,4,North Texas,home,45,401114264,2019,4,regular
1,8,0,1,0,49,0,2,1,,,,0,,6,25:50,1,0,1,6-43,3.5,35,122,4.9,13-28,138,260,0-3,5-14,16,14,0,43,5,10,William & Mary,away,7,401116697,2019,4,regular
0,-4,0,2,1,,,,13,3,0,1,0,2,2,34:10,0,0,0,9-83,5.6,48,270,6.2,20-34,210,480,0-0,7-17,25,14,0,68,3,6,East Carolina,home,19,401116697,2019,4,regular
2,14,0,2,3,87,0,4,8,0,0,1,0,2,3,28:24,0,1,1,12-82,6.5,50,325,9.3,7-20,186,511,2-2,4-13,23,14,0,106,0,6,Tulane,home,38,401117869,2019,4,regular
2,12,0,2,2,26,0,1,7,,,,2,2,4,31:36,1,0,1,3-25,6.6,46,304,6.9,16-33,229,533,1-1,7-15,28,10,0,96,0,4,Houston,away,31,401117869,2019,4,regular
0,10,0,1,0,0,0,1,3,3,0,2,0,2,2,19:57,0,0,0,4-35,3.5,31,107,5.2,8-16,83,190,0-2,2-11,13,5,0,57,2,0,South Alabama,away,3,401114265,2019,4,regular
2,-3,0,3,3,33,0,2,5,,,,0,,10,40:03,2,0,2,4-33,4.5,45,201,11.2,22-28,313,514,0-1,9-13,26,16,0,36,4,4,UAB,home,35,401114265,2019,4,regular
2,35,0,3,2,66,0,4,4,,,,0,4,5,37:33,1,1,2,4-46,5.0,46,229,8.5,20-35,297,526,1-4,6-13,27,5,0,36,0,18,Southern Illinois,away,28,401121941,2019,4,regular
1,-1,0,1,4,85,0,3,11,16,0,1,2,2,4,22:27,0,0,0,8-67,4.3,27,117,10.8,18-33,357,474,1-1,2-9,22,6,0,60,0,5,Arkansas State,home,41,401121941,2019,4,regular
1,-6,0,1,3,43,0,2,10,,,,0,4,2,34:46,1,2,3,4-41,3.8,53,204,5.5,24-40,219,423,2-3,11-21,27,10,0,60,6,6,Georgia State,away,34,401121942,2019,4,regular
3,,,,0,26,0,2,13,0,0,1,4,0,4,25:14,0,0,0,8-91,4.4,50,221,5.2,16-25,129,350,0-1,9-19,20,14,0,86,8,6,Texas State,home,37,401121942,2019,4,regular
0,17,0,2,2,39,0,2,8,,,,2,8,8,33:32,2,3,5,6-52,0.1,29,4,7.8,30-43,334,338,1-2,4-14,19,6,0,88,6,6,Virginia,away,20,401112472,2019,5,regular
4,1,0,1,0,16,0,1,5,0,0,2,6,2,8,26:28,0,1,1,9-50,4.2,37,157,6.6,17-25,165,322,2-2,6-15,19,26,1,90,10,6,Notre Dame,home,35,401112472,2019,5,regular
0,,,,0,38,0,3,0,,,,0,4,6,29:04,2,1,3,7-40,2.2,29,65,5.7,18-32,183,248,0-0,8-15,17,8,0,27,0,3,Towson,away,0,401110809,2019,5,regular
2,,,,3,11,0,1,8,18,0,2,2,2,8,30:01,0,0,0,4-28,5.0,32,160,9.4,24-28,262,422,0-1,6-9,23,8,0,22,14,5,Florida,home,38,401110809,2019,5,regular
1,9,0,1,0,84,0,3,1,,,,2,4,6,26:10,1,1,2,4-20,4.1,28,115,2.9,13-34,97,212,0-2,2-15,9,4,0,47,5,6,Kentucky,away,7,401110810,2019,5,regular
3,-2,0,2,0,,,,6,0,0,1,2,4,4,33:50,0,1,1,5-40,5.4,46,247,5.2,15-27,140,387,0-0,5-15,21,16,0,36,10,16,South Carolina,home,24,401110810,2019,5,regular
1,-6,0,2,1,22,0,1,4,,,,0,2,4,31:25,0,0,0,9-74,3.5,31,108,8.8,17-32,280,388,0-0,4-14,20,12,0,29,0,1,Northern Illinois,away,18,401110811,2019,5,regular
2,24,0,2,1,20,0,2,6,,,,0,2,3,28:35,0,0,0,9-97,7.1,26,184,6.8,21-28,189,373,0-0,3-11,16,7,0,38,6,4,Vanderbilt,home,24,401110811,2019,5,regular
1,,,,3,15,0,7,7,,,,2,2,2,30:23,1,0,1,9-97,4.8,58,279,6.6,12-30,197,476,2-4,8-20,25,8,0,46,2,6,Ole Miss,away,31,401110806,2019,5,regular
1,72,1,5,6,57,0,3,11,36,0,1,0,2,2,29:37,0,1,1,10-76,5.2,30,155,11.3,26-37,418,573,1-2,6-12,28,7,2,42,6,8,Alabama,home,59,401110806,2019,5,regular
6,34,0,3,2,21,0,2,8,,,,4,8,4,27:25,0,3,3,5-37,4.8,45,217,15.0,18-24,361,578,0-1,6-10,25,5,0,74,1,10,Auburn,home,56,401110808,2019,5,regular
1,,,,2,16,0,1,5,,,,6,6,2,32:35,0,2,2,9-70,3.1,38,118,8.3,13-26,216,334,1-2,3-12,21,6,0,94,2,1,Mississippi State,away,23,401110808,2019,5,regular
1,9,0,1,3,31,0,1,7,18,0,1,0,6,2,32:37,1,1,2,6-55,2.7,33,89,7.2,23-35,251,340,0-0,5-10,24,6,0,64,3,8,Texas A&M,away,31,401110807,2019,5,regular
1,35,0,2,1,,,,9,12,0,1,2,0,4,27:23,1,0,1,8-48,3.8,26,98,6.8,27-44,297,395,1-2,5-13,26,8,2,70,1,4,Arkansas,home,27,401110807,2019,5,regular
2,20,0,2,1,,,,2,,,,0,6,2,29:29,2,2,4,10-103,6.3,49,309,4.5,7-20,89,398,0-2,5-14,20,12,0,76,6,3,Buffalo,away,20,401119270,2019,5,regular
2,68,0,3,1,75,0,4,10,25,1,2,4,0,4,30:31,0,0,0,2-20,2.6,55,145,6.7,8-18,120,265,1-3,5-19,16,12,2,32,4,2,Miami (OH),home,34,401119270,2019,5,regular
1,10,0,2,2,26,0,2,13,103,1,2,2,0,2,30:58,1,0,1,8-60,5.2,42,220,6.5,19-33,213,433,1-1,10-17,24,14,2,32,0,4,UMass,home,37,401114356,2019,5,regular
1,,,,3,63,0,4,3,1,0,1,0,2,0,29:02,2,1,3,6-43,2.6,27,71,8.0,28-42,335,406,1-2,8-14,22,4,0,76,0,3,Akron,away,29,401114356,2019,5,regular
1,70,0,2,2,41,0,2,3,9,0,1,2,,2,25:11,1,0,1,6-52,3.9,26,101,8.0,25-44,354,455,0-2,5-15,18,10,0,36,2,3,BYU,away,21,401117213,2019,5,regular
2,12,0,2,1,43,0,2,8,40,0,1,0,4,4,34:49,1,2,3,3-33,4.3,56,242,7.4,17-28,206,448,2-2,6-15,27,10,0,58,6,18,Toledo,home,28,401117213,2019,5,regular
1,35,0,3,1,44,0,5,3,0,0,1,0,4,0,28:30,2,1,3,15-95,3.3,32,107,6.9,33-48,330,437,1-4,6-14,31,12,0,80,0,3,Central Michigan,away,15,401119271,2019,5,regular
3,0,0,1,1,22,0,1,7,0,0,2,2,0,6,31:30,1,0,1,15-167,5.1,37,188,8.4,18-29,244,432,1-2,6-13,22,6,0,104,3,6,Western Michigan,home,31,401119271,2019,5,regular
0,10,0,2,1,,,,7,,,,0,6,8,29:11,0,2,2,8-57,3.1,28,88,5.4,28-52,282,370,1-3,4-16,24,14,0,92,8,6,NC State,away,13,401112468,2019,5,regular
1,24,0,4,3,58,0,1,7,,,,4,2,4,30:49,0,0,0,13-99,1.7,32,53,7.9,29-40,316,369,1-1,5-15,22,12,0,80,2,16,Florida State,home,31,401112468,2019,5,regular
1,17,0,2,2,,,,9,3,0,2,0,,0,35:51,1,0,1,3-15,3.6,54,197,7.4,21-33,243,440,0-0,17-24,22,8,0,86,3,1,Wake Forest,away,27,401112466,2019,5,regular
0,29,0,2,3,78,0,3,6,0,0,1,0,2,2,24:09,2,0,2,6-40,5.7,44,252,9.1,22-31,281,533,3-5,2-12,26,6,0,48,3,3,Boston College,home,24,401112466,2019,5,regular
1,,,,2,25,0,1,2,,,,2,0,1,31:49,0,0,0,3-20,4.1,36,146,5.3,15-27,144,290,2-3,7-17,14,6,0,30,7,8,North Carolina,home,20,401112467,2019,5,regular
2,,,,1,67,0,2,3,,,,0,2,6,28:11,0,1,1,6-30,4.0,31,125,6.9,18-30,206,331,0-1,8-15,14,9,0,64,1,6,Clemson,away,21,401112467,2019,5,regular
3,20,0,1,3,,,,9,0,0,1,2,0,1,32:14,0,0,0,8-62,5.7,41,234,6.7,21-28,188,422,2-2,7-14,24,6,0,33,5,3,Duke,away,45,401112465,2019,5,regular
0,25,0,1,1,97,0,6,4,,,,0,2,0,27:46,1,1,2,5-52,3.2,43,139,6.0,8-20,120,259,0-1,4-13,14,12,0,62,5,2,Virginia Tech,home,10,401112465,2019,5,regular
2,16,0,2,0,,,,6,65,0,1,4,0,3,32:59,1,0,1,10-70,4.0,49,195,5.8,9-22,127,322,2-3,7-16,17,12,1,90,5,4,Temple,home,24,401112469,2019,5,regular
