tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,fumblesRecovered,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,puntReturnYards,puntReturnTDs,puntReturns,team,home_away,points,game_id,season,week,season_type,totalFumbles
8,0,30,2,1,3,0,3,1,27,0,2,39:31,2,2,4,9-56,6.3,58,365,9.1,24-28,255,620,2-2,7-13,27,4,0,0,1,,,,Nebraska,away,28,401269382,2020,16,regular,5
10,1,50,3,3,0,3,1,0,192,1,5,20:29,1,0,1,5-32,4.3,30,130,5.5,11-22,122,252,2-3,2-13,9,7,9,0,2,11,0,1,Rutgers,home,21,401269382,2020,16,regular,1
1,0,16,0,7,6,0,0,2,33,0,2,41:26,0,1,1,6-50,4.2,52,216,11.5,12-22,252,468,0-0,8-18,21,10,0,0,1,3,0,1,UAB,away,22,401240101,2020,16,regular,
1,0,18,1,6,4,1,0,2,108,0,6,18:34,1,0,1,3-42,4.8,27,130,5.8,8-24,138,268,1-3,2-12,10,1,,,,,,,Marshall,home,13,401240101,2020,16,regular,
10,0,31,6,3,2,0,2,2,53,0,2,28:08,1,0,1,5-60,8.1,27,219,8.3,25-39,322,541,1-1,8-14,23,10,,,,2,0,1,Clemson,away,34,401256001,2020,16,regular,
5,0,40,2,2,4,0,1,0,37,0,2,31:52,0,0,0,2-25,1.5,30,44,7.8,20-28,219,263,0-1,3-12,18,4,14,0,1,0,0,1,Notre Dame,home,10,401256001,2020,16,regular,
7,0,40,3,1,5,0,1,0,17,0,1,28:40,2,1,3,2-15,3.1,34,105,6.1,24-37,224,329,1-2,7-15,19,4,0,0,2,,,,Northwestern,away,10,401247349,2020,16,regular,
9,0,39,3,5,2,1,2,0,,,,30:36,2,0,2,5-45,9.1,44,399,4.2,12-27,114,513,0-0,4-11,24,10,0,0,2,,,,Ohio State,home,22,401247349,2020,16,regular,
6,0,43,1,3,3,0,1,1,18,0,1,24:18,0,1,1,8-75,2.3,26,61,7.0,26-43,300,361,1-3,2-13,19,7,,,,7,0,1,Auburn,away,19,401256199,2020,1,postseason,
5,0,32,1,2,5,1,2,3,,,,35:42,0,0,0,7-68,3.3,51,166,8.3,24-35,291,457,3-5,7-17,25,5,,,,-2,0,1,Northwestern,home,35,401256199,2020,1,postseason,
3,0,46,2,3,7,1,1,1,74,0,7,33:20,3,0,3,8-61,6.4,39,250,6.0,25-45,271,521,1-2,4-13,28,8,,,,,,,Florida,away,20,401256194,2020,1,postseason,0
4,1,59,1,5,6,0,3,3,81,0,4,26:40,0,2,2,4-40,10.9,40,435,10.0,15-25,249,684,0-0,4-9,25,13,74,1,3,,,,Oklahoma,home,55,401256194,2020,1,postseason,3
2.5,0,29,0.5,0,2,0,2,0,8,0,1,33:43,1,0,1,3-25,3.7,38,139,5.6,28-42,236,375,2-3,8-16,24,2,,,,,,,Notre Dame,away,14,401240152,2020,1,postseason,
3,0,32,2,0,2,0,0,4,16,0,1,26:17,0,0,0,6-59,5.6,25,140,9.9,25-30,297,437,0-0,6-10,24,7,0,0,1,20,0,1,Alabama,home,31,401240152,2020,1,postseason,
5,0,42,2,1,6,1,1,6,,,,34:05,1,0,1,9-95,5.8,44,254,13.8,22-28,385,639,0-0,5-12,26,7,38,0,1,14,0,2,Ohio State,away,49,401240173,2020,1,postseason,
6,0,48,2,1,2,0,2,2,41,0,2,25:55,1,1,2,3-20,2.0,22,44,8.3,33-48,400,444,0-2,5-12,23,4,0,0,1,,,,Clemson,home,28,401240173,2020,1,postseason,
5,0,46,3,0,1,1,1,2,,,,31:21,0,1,1,11-80,3.9,26,101,5.6,24-37,206,307,1-1,3-14,16,3,1,0,1,10,0,1,Cincinnati,away,21,401256108,2020,1,postseason,
12,0,47,8,0,4,1,1,1,30,0,2,28:37,1,1,2,5-51,1.9,24,45,10.4,27-39,404,449,1-2,1-11,19,10,,,,1,0,2,Georgia,home,24,401256108,2020,1,postseason,
6,0,49,2,2,4,1,1,2,50,0,2,24:19,0,0,0,8-79,4.2,35,147,7.7,31-45,346,493,2-2,6-14,27,8,29,0,1,17,0,2,Ole Miss,away,26,401256110,2020,1,postseason,
4,0,53,2,1,5,0,2,0,25,0,1,35:41,1,1,2,5-50,4.2,40,168,4.5,26-45,201,369,3-4,7-17,26,8,,,,0,0,1,Indiana,home,20,401256110,2020,1,postseason,
5,0,47,2,0,2,1,2,1,,,,22:28,0,0,0,4-29,5.1,29,147,5.9,17-33,194,341,0-2,6-14,19,6,,,,3,0,1,Ohio State,away,24,401240174,2020,1,postseason,
4,0,30,1,0,4,0,2,5,13,0,2,37:32,0,1,1,6-44,4.1,38,157,10.3,36-45,464,621,2-2,6-11,33,10,,,,18,0,2,Alabama,home,52,401240174,2020,1,postseason,
8,0,35,8,0,0,0,1,5,103,0,3,36:09,0,0,0,9-100,4.8,44,209,9.7,22-28,271,480,3-5,5-14,20,2,56,0,3,0,0,1,Nevada,home,38,401256136,2020,1,postseason,
7,0,52,1,0,1,0,2,2,28,0,2,23:50,3,0,3,5-31,5.2,38,197,6.7,12-25,168,365,2-4,4-13,18,3,,,,27,0,1,Tulane,away,27,401256136,2020,1,postseason,
9,1,39,5,6,2,0,0,3,104,1,2,26:34,0,0,0,3-40,3.9,34,131,5.9,15-23,136,267,1-1,4-14,11,4,5,0,3,-1,0,1,Hawai'i,away,28,401256140,2020,1,postseason,
8,0,35,2,0,3,0,0,2,28,0,2,33:04,3,0,3,5-25,1.5,38,58,5.8,21-43,249,307,2-4,7-19,20,2,,,,27,0,3,Houston,home,14,401256140,2020,1,postseason,
3,0,37,0,1,6,0,1,0,33,0,1,24:33,0,0,0,8-81,3.6,37,134,5.2,13-22,114,248,1-2,3-12,16,4,0,0,1,,,,Marshall,away,10,401256141,2020,1,postseason,
6,0,30,4,0,1,0,2,0,12,0,1,35:27,1,0,1,6-32,3.6,43,155,5.2,16-27,140,295,2-3,8-15,21,5,,,,,,,Buffalo,home,17,401256141,2020,1,postseason,
3,0,36,2,5,2,0,4,0,56,0,2,30:49,2,1,3,5-53,6.1,42,255,7.6,19-29,220,475,2-2,5-11,26,13,59,0,1,,,,Liberty,away,37,401256143,2020,1,postseason,
7,0,38,1,0,4,1,1,3,79,0,4,28:30,1,0,1,7-60,5.0,33,165,10.3,21-31,318,483,1-2,3-11,24,8,3,0,2,,,,Coastal Carolina,home,34,401256143,2020,1,postseason,
1,0,34,1,2,1,1,2,2,65,0,3,33:10,0,1,1,10-84,5.8,46,265,6.3,12-23,146,411,2-3,6-12,23,7,0,0,1,0,0,1,Louisiana,away,31,401256144,2020,1,postseason,
2,0,35,0,2,3,1,1,2,17,0,3,26:50,1,1,2,7-66,5.1,44,223,9.9,13-21,208,431,1-2,4-10,27,6,,,,-2,0,1,UT San Antonio,home,24,401256144,2020,1,postseason,
10,0,45,1,1,1,0,3,0,185,0,8,24:46,2,1,3,9-81,4.0,26,104,5.5,17-33,180,284,1-3,4-11,16,3,0,0,1,0,0,1,Western Kentucky,away,21,401256145,2020,1,postseason,
4,0,33,3,3,4,1,1,4,10,0,2,34:44,1,0,1,6-57,4.1,55,227,8.3,17-31,257,484,1-1,13-22,27,9,0,0,2,,,,Georgia State,home,39,401256145,2020,1,postseason,
5,0,47,1,4,4,1,2,5,68,0,3,29:00,0,0,0,10-89,7.6,40,303,12.0,19-28,335,638,0-2,2-11,26,13,0,0,2,-1,0,4,Texas,away,55,401256151,2020,1,postseason,
6,0,37,3,2,5,0,3,0,51,0,3,30:58,2,1,3,7-65,4.0,46,182,5.9,14-33,196,378,2-2,4-17,20,5,,,,2,0,1,Colorado,home,23,401256151,2020,1,postseason,
9,0,33,2,3,5,0,1,3,104,0,5,26:14,0,2,2,8-76,5.2,30,156,7.4,30-48,356,512,3-5,4-14,27,8,,,,2,0,1,Miami,home,34,401256150,2020,1,postseason,
5,0,41,1,5,10,2,1,4,37,0,2,33:46,0,0,0,9-81,2.6,43,113,7.6,27-40,305,418,1-1,6-16,29,7,,,,,,,Oklahoma State,away,37,401256150,2020,1,postseason,
1,0,32,0,1,2,0,1,3,31,0,7,31:54,1,0,1,9-91,4.0,58,230,7.2,22-37,267,497,3-5,7-18,30,4,,,,12,0,2,North Texas,home,28,401256135,2020,1,postseason,1
7,0,48,3,2,3,0,6,2,86,0,4,28:06,0,0,0,12-116,12.8,39,500,8.0,9-17,136,636,0-1,4-9,22,8,63,0,1,6,0,2,Appalachian State,away,56,401256135,2020,1,postseason,1
7,0,57,1,0,1,0,2,0,107,0,5,17:12,1,3,4,3-30,4.8,18,86,8.1,19-28,226,312,0-1,0-6,17,5,,,,4,0,2,Oregon,away,17,401256111,2020,1,postseason,
4,0,29,1,0,1,3,3,1,27,0,1,42:48,0,0,0,4-20,4.1,56,228,5.4,20-29,156,384,2-3,11-19,25,10,12,0,1,,,,Iowa State,home,34,401256111,2020,1,postseason,
4,0,38,3,2,3,0,0,3,,,,27:47,1,0,1,5-38,2.6,34,90,7.5,18-31,234,324,1-3,5-15,18,9,,,,23,0,1,North Carolina,home,27,401256112,2020,1,postseason,
9,0,41,4,1,5,0,5,0,,,,32:13,0,0,0,9-87,6.4,35,225,8.9,16-26,232,457,1-1,5-13,19,11,10,0,1,5,0,2,Texas A&M,away,41,401256112,2020,1,postseason,
3,0,36,1,0,2,0,1,2,54,0,3,26:38,0,0,0,7-54,4.5,43,194,4.8,21-45,217,411,1-3,9-18,28,5,,,,0,0,1,UCF,away,23,401256137,2020,1,postseason,
3,0,39,0,4,6,0,4,3,68,0,3,33:22,0,0,0,5-55,5.6,38,214,12.6,27-35,441,655,0-2,7-11,34,7,,,,10,0,1,BYU,home,49,401256137,2020,1,postseason,
4,0,63,2,0,2,0,0,0,90,0,7,16:20,4,0,4,4-40,4.3,26,113,3.1,19-39,119,232,0-0,5-14,15,3,,,,60,0,1,Louisiana Tech,away,3,401256138,2020,1,postseason,
7,0,53,3,0,2,0,4,1,33,0,1,22:20,0,0,0,3-25,5.7,57,323,10.5,7-12,126,449,1-1,7-16,17,8,36,0,4,-2,0,3,Georgia Southern,home,38,401256138,2020,1,postseason,
6,0,35,2,7,1,1,0,3,34,0,2,30:06,1,2,3,5-41,5.3,35,185,8.4,22-34,284,469,0-0,9-13,23,5,1,0,1,3,0,2,Memphis,away,25,401256139,2020,1,postseason,
1,0,32,0,0,3,2,0,1,,,,29:40,1,1,2,2-20,3.6,39,139,4.3,19-35,151,290,2-4,8-18,19,4,11,0,1,,,,Florida Atlantic,home,10,401256139,2020,1,postseason,
5,1,44,1,0,2,0,3,1,43,0,2,30:53,0,2,2,8-64,3.6,51,185,11.4,12-19,217,402,1-2,6-15,21,4,63,1,4,,,,Ball State,away,34,401268773,2020,1,postseason,
7,1,46,4,0,3,2,0,1,199,1,6,28:43,4,0,4,8-80,3.1,22,69,6.0,26-46,278,347,1-3,1-12,18,1,,,,24,0,3,San José State,home,13,401268773,2020,1,postseason,
9,0,41,0,1,1,0,1,3,16,0,1,26:08,4,0,4,5-26,3.2,35,111,7.8,24-52,407,518,1-4,7-16,27,4,0,0,1,9,0,1,Wake Forest,away,28,401256152,2020,1,postseason,
5,0,39,1,0,6,0,5,1,79,0,2,33:52,1,0,1,6-39,2.8,44,122,7.2,13-20,144,266,1-1,3-11,19,6,176,0,4,12,0,3,Wisconsin,home,42,401256152,2020,1,postseason,
5,0,39,4,0,4,0,2,1,39,0,3,31:19,2,0,2,7-66,3.4,40,137,7.5,26-46,347,484,1-2,10-18,27,8,,,,-1,0,3,Tulsa,away,26,401256196,2020,1,postseason,
9,1,49,5,2,8,0,2,1,138,0,4,28:07,0,0,0,11-103,4.3,29,125,4.9,19-30,148,273,1-3,4-12,16,4,113,1,2,5,0,1,Mississippi State,home,28,401256196,2020,1,postseason,
4,0,46,0,1,0,0,0,3,74,0,4,26:18,1,1,2,7-53,1.6,27,42,6.7,23-42,280,322,1-1,8-16,19,4,1,0,1,21,0,2,West Virginia,away,24,401256197,2020,1,postseason,
7,0,43,3,2,5,1,3,0,38,0,2,33:41,1,0,1,3-30,3.1,59,182,9.5,4-6,57,239,1-3,5-13,15,3,21,0,1,,,,Army,home,21,401256197,2020,1,postseason,
6,0,46,0,1,2,0,2,1,52,0,3,25:58,3,0,3,7-45,1.9,26,50,6.7,27-40,268,318,2-2,5-12,19,3,,,,1,0,1,NC State,away,21,401256109,2020,1,postseason,
4,0,35,3,0,1,0,2,0,28,0,2,33:59,0,0,0,10-103,5.9,48,281,5.0,12-20,99,380,1-2,3-13,19,11,12,0,3,0,0,1,Kentucky,home,23,401256109,2020,1,postseason,
