team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,interceptions/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt
Nevada 2023,-1.6454740346768384,-1.6388733121787054,-1.443640092879025,-0.9616105501963529,-0.3958578524492012,-0.6074968690659884,-1.777497132847521,-0.9135073250996958,-0.23566439662853442,-0.8787276901154129,0.4324324428165799,0.49197829823439426,-1.747882690072496,0.1353546229423144,-0.07473983433684267,-0.7572946439006986,-1.245419644589659,-1.1601427569308145
New Mexico 2014,-0.16487762562173464,-0.03705386006800887,-1.2993028705099954,-2.424709258250145,-2.777799190549742,-2.558667071397455,-1.651135434153322,2.8349827792034428,1.7598132112739755,1.6388096899275737,0.03165439694892268,-1.080114250446344,-0.5260890773563499,2.8714789668823197,3.2270981467655435,-1.5451028815719057,2.4734111918884767,-0.2012261261582746
New Mexico 2015,0.15842878628111662,-0.21971205039373704,-0.9551141094761523,-1.627299216977846,-2.00843587765463,-2.0000711873855033,-1.8358179168602284,1.658165862412616,1.8006029633451404,2.239145526707056,0.3091161210111468,0.7338386903391231,-0.38694512034015016,2.1469252602786417,2.0616305297039967,-1.4912687322357332,0.9500574752633236,0.25304655182185337
New Mexico 2016,1.1283480219896709,0.8861439764596485,0.004173276114940533,-2.1228069185363125,-2.5805505161622952,-2.3446256578975477,-1.2526100767331563,3.6345035692995316,2.444651680258267,2.936309724257422,-0.9857052579458991,-1.2010444464987085,1.0699637618232458,2.8279753269333425,3.127460816555162,-1.0703905339366722,2.7942963257047384,0.3175982259860049
New Mexico 2017,-1.167862289820353,-0.6810013785044698,-1.126098203667159,-1.8298385347432793,-1.6475923311448935,-1.812132385288024,-1.5247737354591235,1.3201012821792728,1.1458201011501248,0.0024103928996324765,2.2359336492210358,1.0160091477946405,-1.7169223291207651,1.638371306004912,2.1093987770935474,-1.8019295476644335,1.0428619406657504,-1.1068322872144574
New Mexico 2018,-0.3201014427000931,-1.1357893134002204,-1.1549656481409647,-0.9120379899041137,-1.0885652824070116,-1.2522313707059511,0.11792834756546261,-0.3412187595572318,0.6155533242249845,-0.5010970831089648,1.6347665804195504,1.8020554221350096,-0.5203121184266597,0.9986955823190544,0.34865837591563975,-1.1619633934961293,-0.9137614358087138,0.016524697248988363
New Mexico 2019,-0.9409967110135229,-0.02497984409732523,-0.14460509155775203,-0.6245171402091285,-0.5659965194563834,-1.0825643965901712,-0.8929652419881288,0.7107822800428857,0.5736901576256311,-0.12346647610251676,1.6347665804195504,1.2780245725747634,-0.5534356285028145,0.600663020887296,0.8098938124295706,-1.863799387342334,0.6728626528440216,-0.2943129897258972
New Mexico 2020,-0.7107196197434319,-0.13019626898471112,0.30490225810579946,-0.5735282210513971,-0.1093998926922118,-0.2996725017416455,-0.8027068857779867,0.5181759182783838,0.4959442767982606,-0.05153683667271739,-0.483631662023779,0.042808998611326095,0.5537163300624264,0.2660524538781026,0.6661904355394369,-0.5073533015274724,0.45326604707087226,-0.8465521652887851
New Mexico 2021,-2.3857722392043903,-2.708094504249246,-2.4540006494622375,-1.9998015986023838,-1.4288426164213743,-1.4218983448217308,-1.2720503380707253,-1.0212322315547475,0.07133215843339145,-2.0116195111347572,0.4324324428165799,-0.5560834008860979,-2.527856621277496,1.0570695985995384,0.7988257373459401,-0.8228280446448983,-1.617430635695825,-1.8935682432880132
New Mexico 2022,-2.2544290093688564,-2.816760647985399,-2.6849402052526856,-2.145686561748115,-1.4774536641377127,-1.5067318318796206,-2.1565822289301178,-0.9842017949608237,-0.3054363409607883,-1.1304814281197118,-0.7699016947863911,-0.2940679761059748,-3.130443895470894,0.9377140811614889,1.0120497303078686,-1.0206569981414493,-1.3170283798075824,-2.177297806132611
New Mexico 2023,-0.22457909372879542,0.14137326483209353,0.808020576077848,-0.23501845219868103,-0.2986357570165259,-0.48872998718494254,-0.38751844721133294,0.4566188288754966,-0.27752756322788774,0.631794737910379,-0.5695126718525628,-0.03205255132585165,0.14961591193709906,0.050071810497404695,0.41142983659178084,-0.625559513112924,1.0958205626848312,0.005703848238415741
