team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,passingYards/completion_opp,d_ppa,d_success_rate,d_explosiveness,d_power_success,d_stuff_rate,d_standard_downs_rate,d_line_yards,d_open_field_yards,d_second_level_yards,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa
Colorado 2021,0.0097001844768632,0.6682514963485877,0.8431961687114318,0.39362910009898827,0.5390637797322532,0.7197144243515983,-0.27259328261408694,0.4888490739052163,-0.4272718873273978,0.42596111739489007,-1.261194125135209,0.7693914867930011,-0.6162415680522618,0.19247012425054946,0.5097853018727793,1.0542933797298004,-0.06987434033790701,-0.474794206804156,1.2786755228228601,0.7770293441534889,1.0035387142055587,1.3345390334173435,-0.4973454666298473,-0.3079297910711335,1.1999856492463938,0.4612705377776475,1.9679940687231225,1.2720606896996614,0.853958747647229,1.3542055234581927,0.37664123794810916,0.6654919855368736,0.8560803144823389
Colorado 2022,2.6714592953377263,2.1952605975215986,2.105653745444566,1.0486456719798676,-0.3019528832275358,0.6584422237454486,2.1998409078278356,2.107950713345134,0.6595968804314023,2.693550528052176,-1.6156023950921767,2.56709823859705,0.5935863914166398,1.033952698487917,1.8012301505848745,2.472974268057151,1.6667165662895742,0.51599618897544,2.9893208891641274,2.7764657920092035,1.3177068315975675,0.596171035964588,-0.48623554339293795,1.9032505030797773,1.5155245790244238,2.2879596564434013,2.502749465339077,2.765997015542722,1.4814415290764522,2.410645022598975,2.495012189044945,0.8274123004357977,2.9225640917763056
Colorado 2023,1.2286365997309037,1.1939666371839486,1.5514040776105071,1.4079271498399015,0.8489120239805957,1.3937086310192706,1.6700335813045664,0.3914595016080784,-0.024727899268581138,0.6927363421781003,-0.020765180285821288,1.3058523914423723,-0.5533081137823579,-0.36731468425392344,1.2222807085599556,0.6294726381809711,0.8103447736644018,0.008018239260341108,1.7923678584210017,1.3213549627499275,0.9889314979715683,2.0023853112400927,-0.5884398694041669,0.872813410637075,0.7832866635659023,0.6093944371760857,0.8087555726828831,1.1932358028920227,0.8877827629247513,1.5175891819288108,1.5422127827643686,0.45278428249560954,1.5959998968597913
Colorado State 2014,-0.2275810015380517,0.738442346214889,0.9497826432949051,-0.13730281694796884,0.46585787587138,-0.11688677623239638,-0.992587854555966,1.029017839482772,0.7261714630719013,0.8158633690011206,-0.4569599740790123,0.5698280302634341,0.1282850917979272,0.9089924873936367,-0.8905904660016208,1.0044982312868864,-0.6354299989878678,-0.079622528251141,0.6510225706687457,0.46513081535025075,0.1998742785277228,1.6119659872047936,-1.9977372300627567,0.535673864309484,1.1593003650608138,0.6049680927710036,-0.3346082221551794,0.8193789737426767,0.6161878720039289,1.2986797031365018,-0.21397299581533843,0.3886824499137117,-0.09778126204331815
Colorado State 2015,0.09389673435312314,0.152673809497056,-0.10187057259536025,-1.5044901047544401,-1.7609635718035257,-1.8984938400112719,-1.318623132416439,1.3342966911064924,1.1720663421524355,0.8158633690011206,-1.1112521647688,-0.809425431425093,1.942131520596232,1.9996245124492416,-1.1015916963928245,1.1092712704113457,-0.174313357938084,0.7083453514911013,0.7109272437136207,0.23373822374836525,0.9435448792743152,-0.19609243575479346,0.659769668896035,-0.2987760316257143,-0.15974515214816118,1.980465557936629,1.1488813380172505,0.21819655213605876,2.14340304187142,1.1852046001049177,-0.2043990105745915,0.6267263879116813,0.033947901602227486
Colorado State 2016,0.5646319904794871,0.6458829837538325,0.26762920596067885,-0.6832752982172197,-1.9244000083301247,-1.5874195907800395,-0.34051729883501913,1.3511525786194583,1.6179612212329697,1.6777525567622604,-1.274825212441246,1.726172275497551,2.2924287343851315,1.4686920175346194,-0.02813095247905665,0.8585096232446574,1.3832145595203817,1.6880588078265748,1.2848106458237258,0.4086993033273597,1.2536523105481239,0.49665025503432075,-0.20173324425962305,-0.538949405140479,0.04573162306512385,0.8155202722547114,0.3347140918686835,0.32432998083721987,1.177266105571613,0.7938472774650676,0.42712463148425217,1.6230495978993984,1.620259973705392
Colorado State 2017,0.17426616832591724,0.8521581343813311,0.49501368507208676,0.4583035262548507,0.15941455738400775,-0.1451662534352356,0.14853561795569112,0.6956458420041065,-0.2956709681543233,0.20022823488602012,-0.6205330217514593,0.9522077727349652,-0.2878539628839178,0.32887748706819725,-0.5068506812323679,1.2604422964778195,0.385327760575197,0.8908664127418211,1.1250083003172546,0.666569253852851,1.060000208119591,1.5037915516431093,-0.7815258238906547,0.6316874714074917,1.0604452785276794,1.887266299942299,0.5998917889270153,0.8133465240642126,0.9979681774571252,1.4499263061850007,0.2799793654350334,1.1890839703305565,0.5139686839537035
Colorado State 2018,1.5147135135150147,1.1882367718887406,0.7816128722854234,0.07589718090304043,-1.6520059474524613,-0.965271092317575,2.0232384656534133,1.489121139373736,0.8407416750578693,0.15918589261168026,-1.4383982601136927,-0.03566984321874763,1.683283482635033,1.1246925933957028,0.9232742227323566,1.5271281421730734,2.177337741861443,1.7694729807004632,1.7847093165581935,1.933655620810578,0.6154848467134226,0.9055919079840232,-1.0039933137570898,1.5591315214967485,1.6472557860320054,1.1156779082329875,2.0371821781802177,1.631167043930678,0.4430108241654926,1.3601634058510224,1.5970445071920907,1.4945748756678348,2.0519900408913254
Colorado State 2019,0.6813590255352119,-0.07949592467609493,-0.04976162946566458,-1.3881137390844454,-1.3864217380967385,-1.2409959950452583,0.08061160173475894,0.908841604436623,0.8608688744608124,0.5593487297864953,-1.261194125135209,-0.5564333204118768,1.4878722739291999,1.6010139856626298,-0.23832511909553256,0.7623303239497874,-0.4443299272892772,-0.3633710408034866,0.7158255231413492,0.062173895115707645,0.8106264524114576,0.37789436518475855,-0.7324539035752863,0.5803119708124846,1.1077341544342871,1.0116134883444388,0.273436480015809,0.4265791174033272,1.107257260930281,1.2235215099570136,-0.7073523685550889,1.0924149435858084,-0.15045143638990077
Colorado State 2021,0.24602459151591163,-0.08092839099989765,-0.04976162946566458,-0.5229052821970167,-0.9659134066168426,-0.9039988917114228,0.7870213704324517,0.18856455932237415,0.8407416750578693,-0.10758933217152991,-1.0839899901567247,-0.34908454457652804,1.1627374684291036,0.4354429068468266,-0.23853426752002643,-0.15899278426631955,0.33380933897496173,0.5937914087062387,0.5136908804908853,-1.1089279471521454,1.4758245078596977,0.41532828698516344,0.09501631361707064,-0.5393588666796374,0.2418851757726282,0.25984577131344155,0.101166092198609,-0.3574554109344701,1.1215137496113508,0.519207454852424,-1.4828609901350753,1.671889857807641,0.37642547557360595
