team_id,points_opp/game,totalYards_opp/game,firstDowns_opp/game,netPassingYards_opp/game,passingAttempts_opp/game,passingCompletions_opp/game,passingTDs_opp/game,rushingYards_opp/game,rushingAttempts_opp/game,rushingTDs_opp/game,turnovers_opp/game,interceptions_opp/game,thirdDownPct_opp,rushingPct_opp,rushingYardsPct_opp,completionPct_opp,rushingYards/attempt_opp,passingYards/attempt_opp,d_success_rate,d_explosiveness,d_standard_downs_rate,d_power_success,d_stuff_rate,d_rushing_plays_success_rate,d_rushing_plays_explosiveness,d_rushing_plays_ppa,d_passing_plays_success_rate,d_passing_plays_explosiveness,d_passing_plays_ppa,d_points_per_opportunity,d_field_position_average_start
South Florida 2016,31.615384615384617,482.0,24.923076923076923,285.53846153846155,39.0,23.307692307692307,1.6153846153846154,196.46153846153845,43.84615384615385,2.230769230769231,2.0,1.1538461538461537,0.38990825688073394,0.5292479108635098,0.4075965528247686,0.5976331360946745,4.480701754385965,7.321499013806706,0.4751984126984127,1.1199844126469356,0.7172619047619048,0.717391304347826,0.1570576540755467,0.4910536779324055,0.8915589917948239,0.1758081388894717,0.4371134020618556,1.5203330553133902,0.2523151313705995,3.8072289156626495,29.599999999999994
South Florida 2017,23.5,359.75,19.833333333333332,232.83333333333334,36.25,19.166666666666668,1.4166666666666667,126.91666666666667,38.083333333333336,1.4166666666666667,2.0,1.6666666666666667,0.36224489795918374,0.5123318385650224,0.3527912902478573,0.5287356321839081,3.3326039387308533,6.422988505747127,0.3553072625698324,1.401219730870784,0.6335195530726258,0.5306122448979592,0.2738095238095238,0.35,1.034218040260516,-0.0363129853823851,0.3490364025695932,1.814067436116392,0.1361655763446194,3.295774647887324,29.700000000000003
South Florida 2018,32.0,446.3076923076923,21.307692307692307,199.07692307692307,28.076923076923077,15.538461538461538,1.1538461538461537,247.23076923076923,48.23076923076923,2.769230769230769,1.6153846153846154,0.8461538461538461,0.4093264248704663,0.6320564516129032,0.5539469148569458,0.5534246575342465,5.1259968102073366,7.090410958904109,0.4284188034188034,1.3153101411967936,0.6645299145299145,0.7966101694915254,0.1889908256880734,0.4477064220183486,1.1541855192835802,0.218266111952713,0.3809523809523809,1.7413426787173054,0.2399385448636739,3.5058823529411764,29.200000000000003
South Florida 2019,28.916666666666668,398.0833333333333,22.833333333333332,189.5,27.083333333333332,16.916666666666668,1.25,208.58333333333334,46.833333333333336,2.25,2.0,1.0,0.4607329842931937,0.6335963923337091,0.5239690182122672,0.6246153846153847,4.4537366548042705,6.9969230769230775,0.4499437570303712,1.1785678893520255,0.703037120359955,0.7142857142857143,0.2060491493383743,0.4782608695652174,0.9698593962318982,0.1661300538836874,0.3914285714285714,1.6603399383101225,0.2058367870084292,3.2790697674418605,31.299999999999997
South Florida 2020,39.888888888888886,440.22222222222223,23.333333333333332,229.0,30.0,18.22222222222222,2.3333333333333335,211.22222222222223,42.666666666666664,2.2222222222222223,1.4444444444444444,1.1111111111111112,0.5071428571428572,0.5871559633027523,0.47980817768803635,0.6074074074074074,4.950520833333334,7.633333333333334,0.4611398963730569,1.218003784480316,0.7098445595854922,0.76,0.1909090909090909,0.4666666666666667,0.9639724911116668,0.1723045845291505,0.4538152610441767,1.5642057241154663,0.2812679775669144,4.396551724137931,33.3
South Florida 2021,34.666666666666664,471.4166666666667,23.666666666666668,264.1666666666667,31.583333333333332,20.75,2.1666666666666665,207.25,35.75,2.3333333333333335,1.4166666666666667,0.8333333333333334,0.4013605442176871,0.530940594059406,0.4396323139473219,0.6569920844327177,5.7972027972027975,8.364116094986809,0.487468671679198,1.309846160842378,0.7105263157894737,0.7884615384615384,0.1759036144578313,0.4578313253012048,1.1801542218302976,0.2818211950814565,0.5209424083769634,1.4336726352760232,0.37479659356844,4.189873417721519,30.700000000000003
South Florida 2022,41.166666666666664,516.5833333333334,25.666666666666668,282.0,31.25,22.916666666666668,2.0833333333333335,234.58333333333334,38.333333333333336,3.0833333333333335,1.25,0.5,0.5034482758620689,0.5508982035928144,0.4541055008872399,0.7333333333333334,6.119565217391305,9.024,0.5059760956175299,1.3480865770257917,0.7370517928286853,0.7037037037037037,0.1682926829268292,0.5097560975609756,1.237534360938986,0.3873318468844018,0.5119047619047619,1.4824203744801077,0.4306463600102829,4.560975609756097,30.900000000000006
South Florida 2023,32.23076923076923,432.46153846153845,21.0,288.7692307692308,35.84615384615385,21.46153846153846,2.230769230769231,143.69230769230768,35.38461538461539,2.0,1.8461538461538463,1.0769230769230769,0.32608695652173914,0.4967602591792657,0.33226609747420843,0.5987124463519313,4.0608695652173905,8.055793991416309,0.3819978046103183,1.5586751734397322,0.6443468715697036,0.6296296296296297,0.2222222222222222,0.375,1.190341099531696,0.0595548822495378,0.3949044585987261,1.8794822700693123,0.3639086498951956,3.701149425287357,29.700000000000003
Southern Mississippi 2014,35.416666666666664,451.4166666666667,23.25,235.08333333333334,30.25,19.25,2.0,216.33333333333334,40.166666666666664,2.4166666666666665,1.3333333333333333,0.5833333333333334,0.4444444444444444,0.570414201183432,0.4792320472586302,0.6363636363636364,5.385892116182573,7.771349862258954,0.4461738002594034,1.230273295138956,0.6770428015564203,0.6875,0.1941747572815534,0.4393203883495146,1.012393299407324,0.1449409689503887,0.4364161849710982,1.6127432985328172,0.3410894332972112,3.728395061728395,32.099999999999994
Southern Mississippi 2015,25.571428571428573,379.5,19.714285714285715,227.64285714285714,35.142857142857146,19.357142857142858,1.5714285714285714,151.85714285714286,36.142857142857146,1.2142857142857142,1.7142857142857142,0.9285714285714286,0.3686635944700461,0.5070140280561122,0.40015057406361754,0.5508130081300813,4.201581027667984,6.477642276422763,0.3851485148514851,1.2593485099495954,0.6366336633663366,0.6888888888888889,0.2425531914893617,0.3808510638297872,1.036751630264955,0.0859104432360607,0.3641618497109826,1.6498924955162804,0.1208735680789494,3.224719101123596,28.400000000000006
