rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,team,home_away,points,game_id,season,week,season_type
1,0,156,1,4,5,,,,0,3,31:16,0,1,1,6-60,6.0,35,209,3.9,14-27,104,313,3-4,2-13,19,8,0,1,4,1,22,2,1,3,Virginia Tech,away,17,401525518,2023,6,regular
3,2,,,,7,,,,1,0,28:44,0,0,0,12-99,7.8,36,282,6.8,18-25,170,452,1-1,5-12,20,33,0,2,5,0,30,2,2,5,Florida State,home,39,401525518,2023,6,regular
2,1,68,0,3,6,21,0,1,0,3,25:30,0,1,1,6-30,4.9,33,161,8.1,10-13,105,266,0-0,3-10,12,6,0,1,4,0,34,2,1,1,Army,home,24,401520298,2023,6,regular
4,0,15,0,1,3,,,,1,1,34:30,1,0,1,3-25,4.9,61,299,8.1,4-9,73,372,3-4,8-17,19,,,,1,0,35,0,0,0,Boston College,away,27,401520298,2023,6,regular
1,0,,,,6,,,,2,1,28:39,0,1,1,3-20,2.6,39,102,5.5,15-25,137,239,0-1,2-12,18,13,0,1,2,0,45,0,1,1,Wake Forest,away,12,401525517,2023,6,regular
2,0,,,,5,,,,1,2,31:21,0,2,2,6-69,4.9,42,207,4.7,18-28,131,338,2-2,6-15,19,0,0,2,8,0,46,4,3,6,Clemson,home,17,401525517,2023,6,regular
2,2,60,0,2,11,36,1,3,0,3,32:44,1,2,3,6-54,2.7,38,104,6.1,29-52,315,419,1-5,5-18,22,10,0,2,7,1,35,2,3,2,Marshall,away,41,401525521,2023,6,regular
2,4,79,0,5,12,27,0,1,2,0,27:16,3,0,3,6-55,4.0,34,136,8.3,17-32,265,401,0-0,3-12,16,42,0,3,8,0,46,6,6,1,NC State,home,48,401525521,2023,6,regular
2,1,,,,5,107,0,3,2,0,24:34,2,0,2,11-67,3.7,27,99,5.8,12-26,151,250,0-0,5-13,13,,,,1,0,1,1,0,5,Georgia Tech,away,23,401525519,2023,6,regular
1,1,46,0,2,8,46,0,2,0,,35:26,3,2,5,6-80,3.5,47,165,8.0,24-36,288,453,0-1,8-16,23,,,,0,0,0,1,0,2,Miami,home,20,401525519,2023,6,regular
1,0,,,,1,,,,1,1,22:44,2,0,2,7-53,3.3,28,92,5.6,16-23,129,221,0-0,4-11,11,14,0,1,6,0,54,2,8,2,Syracuse,away,7,401525520,2023,6,regular
1,3,,,,16,19,0,2,0,1,37:16,0,1,1,5-55,4.2,48,202,9.0,33-49,442,644,1-2,10-19,33,5,0,1,3,0,33,1,6,0,North Carolina,home,40,401525520,2023,6,regular
1,0,34,0,2,7,0,0,1,1,1,28:47,0,1,1,5-58,3.8,39,147,3.8,14-19,72,219,1-3,5-13,15,,,,6,0,45,4,2,2,William & Mary,away,13,401525522,2023,6,regular
1,2,13,0,2,9,,,,1,1,31:13,1,1,2,5-41,4.9,45,221,8.9,17-26,232,453,2-2,6-15,27,10,0,3,6,0,33,0,3,1,Virginia,home,27,401525522,2023,6,regular
2,1,15,0,1,1,,,,0,1,25:18,3,0,3,4-32,5.8,38,220,4.5,15-34,152,372,1-4,6-16,18,0,0,1,7,0,39,0,1,2,Kansas State,away,21,401525857,2023,6,regular
1,0,48,0,2,17,48,1,3,0,,34:42,0,0,0,5-45,4.4,40,174,6.6,20-36,238,412,1-2,6-18,20,,,,5,1,34,2,4,4,Oklahoma State,home,29,401525857,2023,6,regular
2,3,23,0,1,7,,,,1,1,30:04,1,1,2,4-40,4.4,42,186,6.9,19-26,180,366,1-2,10-18,19,43,0,1,11,0,39,6,3,4,Texas Tech,away,39,401525858,2023,6,regular
0,1,104,0,5,6,0,0,1,1,4,29:56,0,1,1,1-10,0.6,30,17,8.5,22-38,324,341,1-6,4-15,17,,,,2,0,38,1,0,2,Baylor,home,14,401525858,2023,6,regular
1,1,70,0,4,12,,,,0,1,32:11,2,1,3,9-70,3.9,40,156,9.8,32-38,371,527,3-4,5-14,25,7,1,4,5,1,45,1,2,6,Texas,home,30,401525861,2023,6,regular
3,1,37,0,2,10,7,0,2,1,0,27:49,0,0,0,4-30,4.7,43,201,7.5,23-38,285,486,0-1,5-14,28,,,,10,0,51,5,3,3,Oklahoma,away,34,401525861,2023,6,regular
0,2,130,0,5,2,,,,0,1,27:42,4,0,4,6-52,5.0,37,185,5.9,21-36,213,398,1-3,7-14,23,13,0,1,4,0,41,0,2,4,TCU,away,14,401525859,2023,6,regular
2,1,,,,9,9,0,4,0,,32:18,0,0,0,1-15,5.8,37,215,4.9,16-28,138,353,1-1,5-15,16,5,0,1,5,0,39,2,4,3,Iowa State,home,27,401525859,2023,6,regular
1,2,,,,2,,,,0,1,25:35,0,1,1,5-40,5.3,38,202,7.3,15-23,169,371,0-1,7-12,21,,,,5,0,47,1,0,1,UCF,away,22,401525860,2023,6,regular
5,1,43,0,1,9,,,,1,0,34:25,0,0,0,2-20,7.8,51,399,7.6,8-12,91,490,0-0,6-9,25,82,1,1,6,1,45,4,2,3,Kansas,home,51,401525860,2023,6,regular
2,0,61,0,4,6,25,0,2,2,3,27:10,3,2,5,8-55,3.7,26,95,3.9,26-57,225,320,1-2,6-19,20,86,1,2,9,1,42,6,3,2,Colorado State,away,24,401532590,2023,6,regular
2,4,4,0,1,8,0,0,3,2,2,32:50,2,2,4,7-70,4.6,55,252,13.3,19-29,387,639,0-0,8-17,28,8,0,3,5,0,31,1,14,9,Utah State,home,44,401532590,2023,6,regular
3,0,,,,9,5,0,1,2,0,32:16,1,0,1,7-55,4.0,26,104,8.6,23-38,325,429,0-2,4-12,19,,,,4,0,34,2,1,3,San José State,away,27,401532592,2023,6,regular
3,2,12,0,1,5,0,0,1,0,3,27:44,1,2,3,3-25,6.2,42,262,9.6,13-24,230,492,2-2,5-11,21,,,,4.5,0,32,3,2,6,Boise State,home,35,401532592,2023,6,regular
0,2,17,0,1,7,,,,0,1,27:48,1,0,1,8-93,1.9,20,38,6.2,30-46,286,324,2-2,7-15,16,4,0,1,5,0,38,1,0,3,Fresno State,away,19,401532591,2023,6,regular
0,3,,,,6,23,0,1,0,,32:12,0,0,0,2-15,3.7,35,130,7.1,20-28,199,329,0-0,6-11,27,,,,4,0,36,3,2,5,Wyoming,home,24,401532591,2023,6,regular
1,1,18,0,1,5,,,,0,1,30:04,2,0,2,4-50,3.0,35,106,4.8,21-41,196,302,0-2,8-19,20,32,0,2,5,0,36,3,1,6,Maryland,away,17,401520307,2023,6,regular
1,2,24,0,1,13,39,1,2,0,,29:56,0,0,0,10-81,1.9,33,62,11.0,19-29,320,382,1-2,3-12,19,-3,0,3,5,1,36,2,5,5,Ohio State,home,37,401520307,2023,6,regular
1,1,,,,6,95,1,1,0,2,32:47,0,2,2,2-25,4.6,46,213,4.7,17-31,145,358,0-1,9-17,23,,,,2,1,27,1,3,2,Wisconsin,home,24,401520311,2023,6,regular
0,2,,,,1,,,,2,0,27:13,1,0,1,4-36,2.9,22,64,5.6,18-38,211,275,1-2,2-12,16,,,,4,0,36,2,2,2,Rutgers,away,13,401520311,2023,6,regular
0,1,4,0,1,4,,,,0,,31:12,2,0,2,4-36,3.0,39,117,3.3,5-16,52,169,2-2,3-14,10,,,,3,0,32,0,0,1,Minnesota,home,10,401520303,2023,6,regular
4,1,21,0,1,10,64,2,2,0,,28:48,0,0,0,1-10,5.8,33,191,10.5,16-23,241,432,1-1,5-10,18,7,0,2,7,2,28,2,4,4,Michigan,away,52,401520303,2023,6,regular
0,1,,,,1,0,0,1,2,2,22:43,1,1,2,3-30,1.1,19,21,6.1,29-47,289,310,1-4,4-15,16,,,,3,0,33,1,4,3,Illinois,home,7,401520301,2023,6,regular
2,0,22,0,1,8,39,0,1,1,3,37:17,1,2,3,10-70,3.2,49,158,6.4,12-24,154,312,1-1,5-15,18,,,,6,0,29,2,6,7,Nebraska,away,20,401520301,2023,6,regular
1,1,,,,2,26,0,1,0,2,35:28,2,0,2,6-45,2.4,40,96,6.2,25-40,247,343,0-2,9-19,21,53,0,3,5,0,32,1,3,1,Purdue,away,14,401520302,2023,6,regular
1,1,3,0,1,8,41,0,2,0,1,24:32,1,0,1,2-20,5.2,35,181,5.2,6-21,110,291,0-0,3-13,13,45,0,3,12,0,41,6,3,3,Iowa,home,20,401520302,2023,6,regular
3,0,32,0,2,2,,,,0,2,29:34,0,0,0,8-52,4.5,36,162,5.6,18-30,169,331,1-3,7-15,18,0,0,2,6,0,54,4,1,1,Howard,away,20,401520306,2023,6,regular
1,2,49,0,4,3,,,,0,1,30:26,0,0,0,8-46,3.9,46,181,7.3,13-18,131,312,0-1,7-13,21,1,0,1,5,0,48,3,3,2,Northwestern,home,23,401520306,2023,6,regular
2,2,63,0,4,4,44,0,2,0,1,33:46,1,0,1,5-50,4.6,44,202,11.3,14-21,238,440,0-2,7-14,18,,,,,,,,,,Campbell,away,30,401540315,2023,6,regular
2,2,28,0,2,3,0,0,1,0,1,26:14,2,0,2,4-40,5.8,42,244,5.3,14-28,147,391,0-3,8-13,23,0,0,1,,,,,,,Hampton,home,27,401540315,2023,6,regular
5,1,75,0,3,9,,,,1,1,29:49,1,0,1,14-107,5.9,42,248,10.8,7-10,108,356,0-0,6-12,13,12,0,2,,,,,,,Merrimack,home,45,401540041,2023,6,regular
2,3,123,0,7,2,0,0,1,0,1,30:11,0,0,0,7-64,3.3,36,120,5.6,21-37,209,329,1-2,5-14,24,,,,,,,,,,Stonehill,away,34,401540041,2023,6,regular
2,1,10,0,1,3,15,0,1,0,4,25:02,0,3,3,9-90,4.6,32,146,5.7,14-30,171,317,0-0,6-14,14,,,,,,,,,,UT Martin,away,28,401540479,2023,6,regular
0,2,65,0,3,2,,,,3,0,27:42,1,0,1,6-51,0.9,24,22,7.3,21-35,257,279,0-0,5-15,14,,,,,,,,,,Eastern Illinois,home,27,401540479,2023,6,regular
1,0,31,0,2,4,0,0,1,2,3,36:11,0,2,2,3-24,1.0,34,33,4.2,26-43,179,212,1-5,5-18,16,9,0,3,,,,,,,Robert Morris,away,16,401540485,2023,6,regular
2,2,26,0,1,7,,,,2,3,23:49,1,2,3,5-54,4.5,31,140,9.5,12-17,162,302,0-1,2-8,14,22,0,3,,,,,,,Gardner-Webb,home,31,401540485,2023,6,regular
1,4,115,0,5,8,0,0,1,0,,26:29,1,0,1,11-121,4.5,22,100,8.8,31-45,397,497,2-3,6-14,24,,,,,,,,,,Central Arkansas,home,38,401540187,2023,6,regular
2,2,34,0,4,9,0,0,1,0,,33:31,1,0,1,8-84,4.4,35,153,5.7,25-46,262,415,0-0,10-17,31,,,,,,,,,,Southeast Missouri State,away,33,401540187,2023,6,regular
2,0,122,0,4,8,,,,0,2,33:04,1,0,1,6-50,4.0,39,157,4.6,12-31,144,301,0-2,5-16,17,16,0,5,,,,,,,Kennesaw State,home,20,401540608,2023,6,regular
2,1,49,0,2,9,1,0,1,0,,26:56,0,0,0,8-81,3.6,33,120,4.7,17-37,175,295,0-0,6-17,17,18,0,1,,,,,,,Tennessee State,away,27,401540608,2023,6,regular
0,1,99,1,1,11,0,0,1,2,0,30:00,0,0,0,7-60,1.9,38,72,7.5,12-19,143,215,1-1,4-16,10,3,0,2,,,,,,,Lindenwood,home,23,401540495,2023,6,regular
0,0,,,,,,,,0,3,30:00,1,2,3,5-25,2.3,39,91,3.6,12-34,122,213,2-6,4-17,18,1,0,2,,,,,,,Tennessee Tech,away,0,401540495,2023,6,regular
1,3,47,0,3,13,,,,0,3,37:27,0,1,1,0-0,4.8,52,248,12.6,16-23,289,537,0-0,8-16,25,-6,0,2,,,,,,,Villanova,away,37,401540544,2023,6,regular
1,0,168,0,4,2,,,,1,0,22:33,0,0,0,3-20,3.9,28,108,3.8,8-17,64,172,0-1,2-11,8,21,0,2,,,,,,,North Carolina A&T,home,14,401540544,2023,6,regular
4,1,30,0,1,8,8,0,1,1,0,35:55,0,0,0,5-35,6.3,42,263,8.5,17-23,195,458,0-1,6-10,24,-3,0,1,,,,,,,South Dakota,home,38,401540364,2023,6,regular
0,1,76,0,4,1,,,,0,1,24:05,1,1,2,5-45,4.3,29,125,7.1,12-22,157,282,0-0,2-8,15,,,,,,,,,,Murray State,away,7,401540364,2023,6,regular
2,1,,,,8,10,0,1,0,,20:16,0,0,0,4-40,5.8,28,162,4.6,11-27,124,286,0-0,3-9,19,,,,,,,,,,Tarleton State,home,26,401540208,2023,6,regular
0,2,19,0,1,2,,,,0,1,29:32,1,0,1,4-40,3.1,31,96,7.5,27-36,269,365,1-5,8-15,20,30,0,1,,,,,,,Southern Utah,away,27,401540208,2023,6,regular
2,3,10,0,1,7,,,,1,0,34:19,1,0,1,6-62,4.9,35,172,7.4,23-39,289,461,1-1,5-13,28,0,0,1,,,,,,,Utah Tech,home,37,401540223,2023,6,regular
1,3,12,0,1,7,0,0,1,0,1,25:41,0,1,1,10-85,6.6,34,223,6.0,21-38,228,451,3-5,3-14,20,6,0,1,,,,,,,Stephen F. Austin,away,31,401540223,2023,6,regular
4,4,,,,8,0,0,2,1,1,33:15,1,0,1,11-74,5.3,48,253,12.2,20-29,355,608,3-4,4-12,29,7,0,3,5,0,46,3,4,7,UAB,home,56,401531380,2023,6,regular
3,2,79,0,4,5,35,0,1,0,1,26:45,2,1,3,9-86,5.7,37,211,5.9,24-44,260,471,2-5,8-17,24,,,,10,0,48,2,4,2,South Florida,away,35,401531380,2023,6,regular
2,0,41,0,2,8,0,0,2,0,,31:21,1,0,1,1-5,5.4,43,234,5.1,18-28,144,378,1-2,6-17,18,36,0,2,6,0,31,2,3,0,Florida Atlantic,home,20,401531340,2023,6,regular
1,1,39,0,2,5,0,0,1,0,1,28:39,2,0,2,5-48,4.5,43,194,6.5,13-28,182,376,2-4,8-17,16,,,,6,0,39,3,2,5,Tulsa,away,17,401531340,2023,6,regular
4,3,26,0,2,7,,,,2,2,24:42,0,0,0,8-83,4.5,35,157,10.2,25-33,338,495,1-2,5-11,26,3,0,1,7,0,47,1,2,6,UT San Antonio,away,49,401531389,2023,6,regular
0,5,46,0,4,4,,,,0,2,35:18,0,2,2,2-30,2.4,29,70,7.3,42-65,472,542,2-4,12-20,32,,,,3,0,38,1,2,1,Temple,home,34,401531389,2023,6,regular
2,1,44,0,2,6,,,,0,2,26:05,0,2,2,0-0,5.7,36,206,8.1,22-33,267,473,3-5,2-11,23,0,0,1,3,0,35,1,2,1,North Texas,away,24,401531433,2023,6,regular
3,1,,,,3,,,,2,0,33:55,0,0,0,7-41,5.7,58,331,7.5,4-10,75,406,2-2,4-12,21,2,0,1,10,0,46,8,4,5,Navy,home,27,401531433,2023,6,regular
3,1,35,0,2,4,0,0,1,0,3,33:57,2,0,2,7-55,3.6,38,138,6.3,21-41,259,397,4-6,4-17,19,70,0,5,1,0,24,0,0,5,Louisiana Tech,home,28,401520295,2023,6,regular
2,3,,,,5,40,0,2,0,1,26:03,1,0,1,4-43,4.6,28,129,8.7,19-34,297,426,1-2,3-14,14,,,,6,0,32,2,2,3,Western Kentucky,away,35,401520295,2023,6,regular
2,2,19,0,1,10,0,0,2,0,1,31:56,1,0,1,4-40,5.9,31,183,8.3,20-31,256,439,1-1,2-10,21,7,0,1,10,0,43,7,0,3,New Mexico State,home,34,401520297,2023,6,regular
2,0,16,0,1,5,0,0,1,0,1,28:04,2,0,2,5-25,3.0,29,87,9.1,28-35,318,405,1-3,5-13,20,3,0,1,6,0,34,2,4,0,Florida International,away,17,401520297,2023,6,regular
3,2,,,,9,81,0,2,2,1,25:17,1,0,1,4-30,3.6,46,166,7.6,16-31,235,401,0-1,6-19,16,4,0,1,14,0,51,8,4,2,Jacksonville State,away,45,401520294,2023,6,regular
2,2,,,,6,0,0,1,0,2,34:43,2,2,4,6-55,2.8,39,109,10.3,28-44,454,563,1-2,7-20,22,9,0,3,10,0,37,3,0,11,Middle Tennessee,home,30,401520294,2023,6,regular
2,1,,,,9,,,,0,,25:12,0,0,0,8-65,1.9,30,56,5.7,26-42,239,295,2-2,5-16,19,49,0,2,8,0,51,5,2,5,Colorado,away,27,401524026,2023,6,regular
2,1,42,0,3,6,,,,0,1,34:48,0,0,0,9-88,2.0,29,57,6.7,32-50,335,392,3-3,6-17,25,15,0,2,9,0,38,5,6,7,Arizona State,home,24,401524026,2023,6,regular
5,1,37,0,2,5,24,0,1,0,2,24:21,0,1,1,8-72,4.4,33,146,8.8,14-25,219,365,0-0,3-9,23,5,0,1,8,0,49,3,2,3,USC,home,43,401524025,2023,6,regular
0,5,,,,9,,,,1,2,35:39,1,0,1,12-99,4.8,42,203,8.7,25-35,303,506,2-2,8-16,28,0,0,1,6,0,33,4,2,2,Arizona,away,41,401524025,2023,6,regular
1,6,139,0,6,10,0,0,1,1,1,37:17,0,1,1,5-55,4.7,43,203,10.6,21-28,296,499,5-5,6-13,24,,,,4,0,29,0,3,3,Oregon State,away,52,401524027,2023,6,regular
3,2,26,0,1,6,,,,1,1,22:43,1,1,2,3-25,7.3,33,241,6.5,21-32,207,448,0-1,5-10,22,8,0,1,2,0,38,0,2,0,California,home,40,401524027,2023,6,regular
0,1,71,0,3,5,113,1,2,0,3,21:28,2,2,4,4-20,0.6,19,12,5.1,20-40,204,216,0-1,2-13,11,12,0,1,9,1,50,4,1,6,Washington State,away,17,401524028,2023,6,regular
2,1,27,0,1,7,3,0,2,2,1,38:32,2,0,2,8-60,3.4,53,180,6.6,22-44,290,470,3-3,8-25,24,16,0,2,6,0,37,3,6,6,UCLA,home,25,401524028,2023,6,regular
0,0,72,0,3,7,,,,0,1,35:22,0,1,1,4-23,2.5,44,110,6.4,15-26,166,276,1-2,6-16,17,82,1,2,7,1,24,5,3,2,Southern Mississippi,home,13,401531886,2023,6,regular
2,0,41,0,2,5,,,,1,0,24:38,0,0,0,5-35,4.0,36,143,8.8,8-22,194,337,0-1,5-14,13,-3,0,1,7,0,25,2,2,5,Old Dominion,away,17,401531886,2023,6,regular
0,1,28,0,4,1,,,,0,,23:30,2,0,2,2-15,4.3,32,138,4.0,13-28,112,250,0-2,7-15,13,,,,2,0,27,0,1,2,Louisiana Monroe,home,7,401531885,2023,6,regular
3,4,,,,13,3,0,2,0,1,36:30,0,0,0,9-64,4.8,42,202,9.9,27-39,387,589,3-3,7-13,32,60,0,5,5,0,20,2,3,3,South Alabama,away,55,401531885,2023,6,regular
1,2,57,0,5,12,,,,2,1,33:27,1,1,2,3-40,4.3,47,204,8.2,30-40,326,530,4-5,6-15,29,-8,0,2,5,0,45,2,1,0,Texas State,away,30,401531884,2023,6,regular
2,3,131,0,6,4,3,0,1,1,4,26:33,0,2,2,5-64,5.3,41,218,12.1,13-17,205,423,0-1,7-10,21,13,0,2,6,0,62,0,0,2,Louisiana,home,34,401531884,2023,6,regular
3,1,,,,13,,,,0,1,34:04,0,1,1,8-75,7.0,50,351,11.2,12-21,236,587,0-1,6-14,20,5,0,1,9,0,33,5,4,5,Troy,home,37,401531887,2023,6,regular
0,0,66,0,2,3,,,,1,0,25:56,0,0,0,2-22,1.5,32,47,5.8,15-27,156,203,1-4,4-16,11,,,,4,0,37,0,3,1,Arkansas State,away,3,401531887,2023,6,regular
5,2,73,0,3,13,0,0,1,1,0,31:31,0,0,0,12-130,7.7,41,316,8.9,19-29,258,574,0-1,7-14,22,25,0,2,,,,,,,Holy Cross,away,55,401540050,2023,6,regular
1,3,93,0,6,3,,,,0,1,28:29,1,0,1,7-50,4.1,37,152,7.1,19-35,248,400,0-3,8-17,20,23,0,1,,,,,,,Bucknell,home,27,401540050,2023,6,regular
2,3,63,0,3,5,,,,2,0,24:38,0,0,0,8-90,5.1,26,133,8.6,19-30,257,390,0-1,3-8,23,,,,,,,,,,Lehigh,away,35,401540083,2023,6,regular
3,1,99,0,6,12,,,,0,3,35:22,0,2,2,11-118,4.7,45,212,7.8,34-49,382,594,1-2,11-16,38,,,,,,,,,,Fordham,home,38,401540083,2023,6,regular
0,1,51,0,2,3,,,,0,2,30:04,0,1,1,6-50,0.1,26,3,8.9,26-35,310,313,2-4,3-13,14,28,0,3,,,,,,,Princeton,home,9,401540074,2023,6,regular
0,1,,,,4,,,,1,0,29:56,0,0,0,5-45,2.6,34,88,6.3,20-28,177,265,1-2,7-17,12,6,0,1,,,,,,,Lafayette,away,12,401540074,2023,6,regular
3,1,26,0,1,4,23,0,2,1,1,25:33,1,1,2,8-74,3.7,43,159,8.5,10-22,186,345,0-2,6-13,18,,,,,,,,,,Stetson,away,28,401540556,2023,6,regular
1,2,99,0,4,6,29,0,1,1,1,34:27,2,1,3,10-90,2.8,42,118,8.0,18-25,201,319,0-0,5-11,20,,,,,,,,,,Presbyterian College,home,24,401540556,2023,6,regular
1,0,94,0,4,4,,,,1,1,28:56,0,1,1,2-15,4.3,35,151,3.6,16-31,111,262,0-2,4-13,18,,,,,,,,,,Butler,away,10,401540563,2023,6,regular
2,0,41,0,2,5,,,,1,1,31:04,0,1,1,5-41,5.2,44,229,8.9,5-8,71,300,1-2,4-12,12,6,0,1,,,,,,,St. Thomas (MN),home,17,401540563,2023,6,regular
1,0,68,0,4,7,,,,0,1,29:52,1,0,1,3-20,2.5,33,81,4.0,20-35,140,221,2-4,6-15,16,10,0,2,,,,,,,Northwestern State,away,13,401540377,2023,6,regular
2,1,95,0,1,3,0,0,1,0,1,30:08,0,0,0,4-29,3.1,40,122,7.2,9-20,143,265,2-3,6-14,15,,,,,,,,,,Lamar,home,27,401540377,2023,6,regular
2,1,25,0,3,1,0,0,1,0,1,25:06,0,1,1,7-73,3.6,35,125,10.0,11-19,190,315,0-1,2-11,15,1,0,1,,,,,,,Southern,home,19,401540151,2023,6,regular
1,2,7,0,1,6,,,,1,1,34:54,1,0,1,10-100,3.1,22,68,6.0,31-54,325,393,1-2,6-15,27,21,0,5,,,,,,,Florida A&M,away,26,401540151,2023,6,regular
3,3,36,0,3,18,10,0,3,1,0,32:57,0,0,0,9-66,4.6,44,204,7.8,14-26,202,406,0-0,5-17,22,50,0,2,,,,,,,Jackson State,away,45,401540089,2023,6,regular
2,2,67,0,4,2,,,,0,1,27:03,3,1,4,8-65,3.7,29,107,6.4,24-43,277,384,0-1,6-13,25,10,0,2,,,,,,,Alabama A&M,home,30,401540089,2023,6,regular
1,1,71,0,2,2,12,0,1,0,1,29:06,0,0,0,2-14,3.2,39,123,3.4,13-22,75,198,2-3,5-15,11,-2,0,1,,,,,,,Bethune-Cookman,away,14,401540119,2023,6,regular
1,1,31,0,3,7,,,,0,1,30:54,1,0,1,2-15,2.8,39,108,8.9,14-23,204,312,2-4,2-12,16,30,0,3,,,,,,,Alabama State,home,19,401540119,2023,6,regular
2,2,67,0,3,7,,,,0,1,27:22,0,0,0,4-30,6.5,34,220,14.4,11-18,259,479,0-1,9-13,18,0,0,1,,,,,,,Prairie View,home,31,401540165,2023,6,regular
0,1,134,0,6,6,,,,0,,32:38,0,0,0,7-68,1.5,33,48,7.3,18-31,227,275,1-1,4-12,19,7,0,1,,,,,,,Mississippi Valley State,away,12,401540165,2023,6,regular
1,1,42,0,3,6,5,0,1,2,1,29:52,3,0,3,8-75,1.9,31,60,8.6,14-27,233,293,1-1,7-16,15,,,,,,,,,,Grambling,away,24,401540127,2023,6,regular
0,3,14,0,1,1,0,1,2,0,4,30:08,1,2,3,6-35,2.1,32,66,7.9,21-32,253,319,2-2,4-12,24,0,0,1,,,,,,,Alcorn State,home,25,401540127,2023,6,regular
2,2,115,0,4,7,,,,0,5,30:57,1,3,4,6-42,5.1,22,112,7.4,33-49,362,474,1-2,4-10,26,7,0,1,2,0,30,0,1,2,Rice,home,31,401520309,2023,6,regular
2,2,44,0,2,6,0,0,1,3,0,29:03,0,0,0,6-48,3.5,30,104,11.3,15-19,215,319,0-0,2-9,12,,,,4,0,42,2,3,3,Connecticut,away,38,401520309,2023,6,regular
2,0,18,0,1,4,0,0,3,1,5,27:04,0,3,3,4-50,4.8,46,222,3.3,10-20,65,287,1-3,6-16,14,40,0,2,,,,,,,Columbia,home,16,401540523,2023,6,regular
0,0,34,0,3,,,,,2,1,32:56,3,1,4,4-25,1.2,29,34,5.2,24-39,203,237,0-4,5-16,15,2,0,2,,,,,,,Marist,away,0,401540523,2023,6,regular
4,1,38,0,1,10,24,0,2,0,2,26:07,0,1,1,8-75,5.3,25,132,7.7,26-35,268,400,0-0,5-12,21,28,0,2,,,,,,,Pennsylvania,home,42,401540060,2023,6,regular
2,3,,,,5,,,,1,1,33:53,2,0,2,12-96,3.7,40,149,6.8,26-40,272,421,1-1,8-17,26,25,0,2,,,,,,,Georgetown,away,39,401540060,2023,6,regular
2,2,49,0,2,7,0,0,3,2,1,28:13,1,1,2,11-100,3.1,30,94,8.1,19-36,291,385,1-2,4-12,19,,,,,,,,,,Morehead State,home,31,401540469,2023,6,regular
1,0,143,0,6,1,0,0,1,1,3,31:47,3,2,5,4-59,4.6,44,203,4.1,16-29,119,322,1-4,6-15,21,19,0,2,,,,,,,Dayton,away,7,401540469,2023,6,regular
0,2,68,0,2,2,,,,1,2,33:26,0,1,1,7-78,3.6,38,135,3.5,16-40,140,275,1-2,7-19,20,54,0,5,,,,,,,Valparaiso,away,14,401540457,2023,6,regular
0,2,49,0,2,8,,,,1,2,26:34,0,1,1,8-75,1.9,24,46,7.4,17-36,267,313,0-0,4-15,15,15,0,4,,,,,,,Drake,home,20,401540457,2023,6,regular
2,1,43,0,2,6,,,,0,2,35:27,3,1,4,4-35,5.1,43,221,5.1,21-29,147,368,0-0,11-17,23,25,0,4,,,,,,,Dartmouth,home,24,401540336,2023,6,regular
1,2,,,,7,76,1,3,1,1,24:33,0,0,0,5-50,1.3,27,36,10.9,15-22,239,275,0-0,2-10,11,10,0,1,,,,,,,Yale,away,31,401540336,2023,6,regular
2,1,16,0,1,5,,,,0,,35:19,0,0,0,2-15,3.1,36,111,5.4,30-45,243,354,1-4,8-17,27,3,0,1,,,,,,,Cornell,away,23,401540309,2023,6,regular
3,3,27,0,2,3,,,,0,,24:41,0,0,0,5-46,6.9,35,243,10.5,12-20,209,452,0-1,5-9,20,,,,,,,,,,Harvard,home,41,401540309,2023,6,regular
1,3,107,1,3,4,0,0,2,0,,23:29,0,0,0,7-51,6.2,27,167,7.4,16-30,222,389,0-0,5-13,16,30,0,3,,,,,,,Rhode Island,away,34,401540292,2023,6,regular
3,0,66,0,3,12,,,,0,1,36:31,2,0,2,3-40,5.1,34,172,4.9,31-56,272,444,0-0,12-21,30,18,0,2,,,,,,,Brown,home,30,401540292,2023,6,regular
1,0,98,0,5,9,0,0,1,2,1,32:22,1,1,2,8-90,2.4,42,102,7.0,19-31,217,319,2-3,8-18,18,,,,,,,,,,Towson,home,17,401540578,2023,6,regular
1,2,64,0,5,6,0,0,1,1,3,27:38,1,2,3,6-55,2.6,29,74,9.0,18-25,225,299,0-1,5-9,18,16,0,1,,,,,,,Albany,away,24,401540578,2023,6,regular
1,1,18,0,2,5,0,0,1,0,1,28:19,3,0,3,9-87,4.8,34,162,7.5,9-17,128,290,0-0,3-10,14,,,,,,,,,,Duquesne,away,17,401540014,2023,6,regular
2,4,51,0,2,5,0,0,3,0,,31:41,1,0,1,4-50,4.0,30,119,8.7,28-40,347,466,0-0,8-13,29,,,,,,,,,,Delaware,home,43,401540014,2023,6,regular
4,1,0,0,1,4,6,0,1,0,,26:36,0,0,0,8-60,8.6,24,207,4.8,21-36,171,378,1-2,5-11,22,,,,,,,,,,North Carolina Central,away,34,401539997,2023,6,regular
