team_id,points/game,totalYards/game,firstDowns/game,netPassingYards/game,passAttempts/game,passCompletions/game,passingTDs/game,rushingYards/game,rushingAttempts/game,rushingTDs/game,turnovers/game,thirdDownPct,rushingPct,rushingYardsPct,completionPct,rushingYards/attempt,passingYards/attempt,passingYards/completion,o_ppa,o_success_rate,o_explosiveness,o_power_success,o_stuff_rate,o_standard_downs_rate,o_line_yards,o_open_field_yards,o_second_level_yards,o_rushing_plays_success_rate,o_rushing_plays_explosiveness,o_rushing_plays_ppa,o_passing_plays_success_rate,o_passing_plays_explosiveness,o_passing_plays_ppa
Texas A&M 2018,1.083443631582791,1.233558864764696,1.7901206758513022,0.32187379584067843,0.3325247674046821,0.14032311757756558,0.4554592327608936,1.0777238967695721,0.5487058054477065,0.6878084609531064,-0.7056815572064055,0.28935375505423105,0.021938688987282292,0.4093405193581055,-0.27311779117892593,1.267351449265285,0.016828948351323158,0.19097840510495448,1.1673733706581921,1.4521623195603273,0.4043798702479867,1.1501741013585738,-0.4647903181670958,0.039112717068722,0.9377820140635024,1.9466218623809346,2.163795659116364,1.6807591356602607,0.5297527950180553,1.3250591530611244,0.6524118663172964,0.45646795824688324,0.6373316811557818
Texas A&M 2019,0.1796429393783383,0.031430739142899025,0.5352013283880261,0.038649951402908604,0.47714351218862466,0.4510372781509975,0.1016223822411804,-0.1130860377362157,-0.8253517234981294,0.23038570425780072,-0.2308594637634033,0.046934791323433867,-0.7127278439225886,-0.15354605780545869,0.22609831391657925,0.6691210154587767,-0.6238480627362041,-0.8167511625491937,0.7231720864895695,1.2695840149893427,0.1337745657403265,1.595555714334457,-0.6357580707752152,0.38249052437326636,0.5231313594197168,1.7034167327000558,0.8141745236741219,1.7233448023058846,0.4184688963021184,1.2958361740244286,0.5756611331563826,-0.1461623639382032,0.16525445465484995
Texas A&M 2020,0.607872314970448,0.6121788366307885,0.9091160727342258,-0.1100754999320879,-0.1981147807640912,0.02691244896826309,0.573404849600798,0.7910193392898345,-0.09761014335274233,0.6077594785314282,-1.750290162781011,2.588232837802121,0.0668741513607262,0.49261932057396346,0.6577030100310264,1.4699435500548084,0.08312647181892739,-0.36050080814607216,1.6364556191796382,1.8358705377218694,0.5405414299212737,1.7091739742042842,0.0818678668314241,0.9623017314100702,0.9496116123913231,0.8777110555992779,1.327463872278455,2.0130011670586576,0.14227188403119442,1.2864725843281286,1.417863147518846,0.501667079245226,1.3826374337558582
Texas A&M 2021,0.1509508539115294,-0.014751016349739713,0.14890812789337732,-0.4203263639437255,-0.09206103458920085,-0.289498137882348,-0.06546724161535088,0.3571701147437768,-0.5221260651042176,-0.4081002269627315,-0.6529235468238499,-0.3935899922303827,-0.20741066604311614,0.4245140691360602,-0.528343182850939,1.1930112215399407,-0.6285324267533197,-0.33789207910052554,0.6236693872255247,0.6559023057927353,0.6649856266740052,0.9334190486224815,0.3003830526794178,0.41437484673292535,0.5742000683813284,1.335911336694077,1.473619211899814,1.3374047965676514,0.6293902816830315,0.997936346217943,0.20266724122664495,0.23971760989764662,0.1479703209110186
Texas A&M 2022,-0.76988576403884,-0.4822786798728168,-0.3504985511991513,-0.23480376816859763,0.16102176878269966,-0.0875339335096182,-0.1932416598585805,-0.44643697163130736,-1.225058273199195,-1.0275268766542924,-0.3099964793372368,-0.6448042887341126,-0.7449883941074293,-0.24462482892220688,-0.5193648828280489,0.46039223700852755,-0.6571673981687877,-0.37590068063744714,0.3268323838675967,-0.2693822820322988,0.9815241171331016,0.16697318214766105,0.08952097363116676,-0.33396705527142356,0.49987713128293343,1.1784483122820695,1.084028500379386,0.7716250952179606,0.4207830093189752,0.6874429538417336,-0.6539918566160893,0.702744543431423,0.07006142712958725
Texas A&M 2023,0.7068600098309354,0.22497336736800724,0.5608119273158481,0.644617246479067,0.18790602262073952,0.4665729861796697,0.33751361592098966,-0.5666556815798215,-0.48183734126166977,0.11603001508397354,-1.0222296195017413,0.6322034323306466,-0.36361636372695677,-0.7755241473274589,0.9334559018491155,-0.47568577280844676,0.7619755305566378,0.13411605725150996,0.998280279547902,0.25361502028695704,1.272370354915435,1.0855671114462675,-1.4447995369463276,0.16067322143426815,0.4814153874817883,-0.3381688115463327,-0.6533055373022002,0.488155146006668,0.15098509703211466,0.5454697109473439,0.3777066597971401,1.240697400736591,1.0001931760803167
Texas State 2014,0.7803834788396314,1.1234639639265,0.8980181465321702,-0.1234902107035207,0.05255771019474171,0.4173765774222081,0.31785601311433836,1.451653385757695,1.1318320715898442,1.078523732297014,-1.3387776817970756,-0.20101421394498584,0.4235158032627981,0.8423126966661052,1.13654780354939,1.2734220132674208,-0.3203709918420423,-1.0285241002232908,0.946821526494145,0.9126088409733503,0.43477818462219003,0.836767615271306,-0.3203445855710041,0.5238768039235744,0.7930557563526389,0.9480722072251384,1.6701108408901382,1.3057335811092416,0.7089965902697086,1.149734351731483,0.1924079509684067,0.5046136351644289,0.5544018874486587
Texas State 2015,-0.18707777799430184,0.3472899041500255,0.28763220541907775,-0.09780246667311833,0.6430842513958409,0.40054622705781484,-0.5765649145882698,0.4426252650331514,0.19458912746320725,0.45909708260545345,0.20439412189268263,-0.6322075833220342,-0.30977708721222474,0.2829778225942458,-0.24756530850136502,0.6206353684932352,-1.0305220049290986,-0.9612756566479627,0.2304743436164436,-0.07879162326040795,0.770585139481743,0.4825685389314109,-0.00911619677767931,-0.6333197196866086,-0.11257024156187187,0.696383800347827,1.1281684155668588,0.35538281581151826,1.1331776051785654,0.9673128784833196,-0.3983456249098386,0.26133822358427444,-0.577571303225485
Texas State 2016,-1.3526937500833787,-1.3600325662643333,-0.9331396768071013,-0.22624118682513017,0.4502592583505848,0.5351890299729688,-0.7043393328314993,-1.5639273984923652,-0.4118621893246139,-0.9036415467159803,0.8902482568659079,-1.5148192950521986,-0.48517726619855633,-1.267796284985998,0.5020189074937333,-2.2645126128723345,-1.005228529546639,-1.3626303801464423,-0.9774941811739499,-1.2956204784032694,0.592964621084479,-1.1722014636709808,1.3863043599455422,-0.956399860608124,-1.7291239713250497,-1.0408744127350074,-1.7094825634455857,-1.4972450957984773,0.7588585195706371,-0.6259462509086742,-0.6332894312360925,-0.06345985650345738,-1.0360531627344443
Texas State 2017,-1.5391923056176302,-0.8247850183312277,-0.4059881822094326,-0.47027475511395267,-0.043854786327885815,-0.17168568533158807,-0.5765649145882698,-0.6074870625612832,0.332418972187714,-1.1514122065926045,0.718784723122602,-1.0282134027920287,0.15963114010357826,-0.2325561030911589,-0.29915847128173456,-1.1196810913407913,-0.7825551276858849,-0.6598458343055805,-0.6090272934303805,-1.0394399083662897,0.82181689970275,0.7860256127619396,2.02670202262731,-0.8307070844470701,-1.4172848930677808,0.6678058433331333,-0.2547098651300032,-0.9763617426882649,0.8503792188306474,-0.39940891962447045,-0.6855964731731811,0.7127931401703466,-0.41428648297385107
