id,school,season,team_id
2636,UT San Antonio,2017,UT San Antonio 2017
238,Vanderbilt,2017,Vanderbilt 2017
258,Virginia,2017,Virginia 2017
259,Virginia Tech,2017,Virginia Tech 2017
154,Wake Forest,2017,Wake Forest 2017
264,Washington,2017,Washington 2017
265,Washington State,2017,Washington State 2017
98,Western Kentucky,2017,Western Kentucky 2017
2711,Western Michigan,2017,Western Michigan 2017
277,West Virginia,2017,West Virginia 2017
275,Wisconsin,2017,Wisconsin 2017
2751,Wyoming,2017,Wyoming 2017
2005,Air Force,2018,Air Force 2018
2006,Akron,2018,Akron 2018
333,Alabama,2018,Alabama 2018
2026,Appalachian State,2018,Appalachian State 2018
12,Arizona,2018,Arizona 2018
9,Arizona State,2018,Arizona State 2018
8,Arkansas,2018,Arkansas 2018
2032,Arkansas State,2018,Arkansas State 2018
349,Army,2018,Army 2018
2,Auburn,2018,Auburn 2018
2050,Ball State,2018,Ball State 2018
239,Baylor,2018,Baylor 2018
68,Boise State,2018,Boise State 2018
103,Boston College,2018,Boston College 2018
189,Bowling Green,2018,Bowling Green 2018
2084,Buffalo,2018,Buffalo 2018
252,BYU,2018,BYU 2018
25,California,2018,California 2018
2117,Central Michigan,2018,Central Michigan 2018
2429,Charlotte,2018,Charlotte 2018
2132,Cincinnati,2018,Cincinnati 2018
228,Clemson,2018,Clemson 2018
324,Coastal Carolina,2018,Coastal Carolina 2018
38,Colorado,2018,Colorado 2018
36,Colorado State,2018,Colorado State 2018
41,Connecticut,2018,Connecticut 2018
150,Duke,2018,Duke 2018
151,East Carolina,2018,East Carolina 2018
2199,Eastern Michigan,2018,Eastern Michigan 2018
57,Florida,2018,Florida 2018
2226,Florida Atlantic,2018,Florida Atlantic 2018
2229,Florida International,2018,Florida International 2018
52,Florida State,2018,Florida State 2018
278,Fresno State,2018,Fresno State 2018
61,Georgia,2018,Georgia 2018
290,Georgia Southern,2018,Georgia Southern 2018
2247,Georgia State,2018,Georgia State 2018
59,Georgia Tech,2018,Georgia Tech 2018
62,Hawai'i,2018,Hawai'i 2018
248,Houston,2018,Houston 2018
356,Illinois,2018,Illinois 2018
84,Indiana,2018,Indiana 2018
2294,Iowa,2018,Iowa 2018
66,Iowa State,2018,Iowa State 2018
2305,Kansas,2018,Kansas 2018
2306,Kansas State,2018,Kansas State 2018
2309,Kent State,2018,Kent State 2018
96,Kentucky,2018,Kentucky 2018
2335,Liberty,2018,Liberty 2018
309,Louisiana,2018,Louisiana 2018
2433,Louisiana Monroe,2018,Louisiana Monroe 2018
2348,Louisiana Tech,2018,Louisiana Tech 2018
97,Louisville,2018,Louisville 2018
99,LSU,2018,LSU 2018
276,Marshall,2018,Marshall 2018
120,Maryland,2018,Maryland 2018
235,Memphis,2018,Memphis 2018
2390,Miami,2018,Miami 2018
193,Miami (OH),2018,Miami (OH) 2018
130,Michigan,2018,Michigan 2018
127,Michigan State,2018,Michigan State 2018
