fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
0,2,67,0,5,3,53,0,3,4,,,,19,9-15,0-1,329,244,20-33,7.4,85,31,2.7,7-64,2,1,1,25:41,South Florida,home,34,322450058,2012,1,regular
0,0,-7,0,2,2,104,0,7,2,0,0,1,19,6-19,3-5,325,256,31-54,4.7,69,27,2.6,3-15,4,3,1,33:20,Akron,home,14,322432006,2012,1,regular
3,4,73,0,3,4,21,0,3,8,9,0,1,18,6-11,0-0,386,180,14-19,9.5,206,46,4.5,2-16,1,0,1,32:00,UCF,away,56,322432006,2012,1,regular
3,1,0,0,1,1,,,,8,,,,25,2-13,1-2,392,211,19-39,5.4,181,38,4.8,2-13,3,1,2,30:54,UT Martin,away,20,322450235,2012,1,regular
1,1,-3,0,1,1,52,0,3,5,11,0,2,20,8-17,2-3,359,157,12-28,5.6,202,44,4.6,6-68,3,3,0,43:32,Memphis,home,17,322450235,2012,1,regular
1,2,41,0,3,5,98,0,4,7,,,,33,12-15,0-0,632,354,26-34,10.4,278,45,6.2,2-30,0,0,0,31:14,Nebraska,home,49,322450158,2012,1,regular
0,0,,,,1,121,1,2,8,,,,20,7-14,0-0,260,75,7-19,3.9,185,47,3.9,4-35,1,1,0,28:04,Southern Mississippi,away,20,322450158,2012,1,regular
1,1,11,0,1,0,96,0,4,7,0,0,1,20,4-15,0-1,419,300,23-40,7.5,119,32,3.7,11-100,3,2,1,26:42,Appalachian State,away,13,322450151,2012,1,regular
2,1,43,0,1,2,90,1,1,5,0,0,1,25,9-16,0-0,390,242,28-43,5.6,148,35,4.2,2-25,2,1,1,33:02,East Carolina,home,35,322450151,2012,1,regular
3,3,4,0,2,2,47,0,2,7,0,0,1,20,5-13,0-0,453,191,13-22,8.7,262,45,5.8,11-107,2,2,0,28:25,Troy,away,39,322450005,2012,1,regular
2,2,-6,0,3,2,82,0,5,5,,,,23,8-16,0-2,459,325,19-34,9.6,134,44,3.0,9-47,4,3,1,41:39,UAB,home,29,322450005,2012,1,regular
1,3,,,,2,18,0,1,8,54,0,2,28,7-17,0-0,441,281,32-45,6.2,160,45,3.6,4-23,1,0,1,32:14,Iowa State,home,38,322450066,2012,1,regular
0,1,,,,2,140,0,5,1,18,0,1,16,8-22,1-3,358,198,23-49,4.0,160,34,4.7,6-60,3,1,2,27:10,Tulsa,away,23,322450066,2012,1,regular
1,2,52,0,3,1,78,0,4,12,0,0,1,23,6-16,0-0,444,196,19-25,7.8,248,52,4.8,4-20,1,1,0,43:09,Texas State,away,30,322450248,2012,1,regular
1,0,4,0,1,1,73,0,3,7,,,,15,1-13,0-3,326,211,17-44,4.8,115,23,5.0,3-25,2,1,1,16:51,Houston,home,13,322450248,2012,1,regular
1,2,49,0,4,5,58,0,3,11,25,0,2,26,2-8,1-1,613,393,24-35,11.2,220,32,6.9,10-85,0,0,0,20:05,Baylor,home,59,322460239,2012,1,regular
0,0,,,,3,76,0,4,6,,,,28,12-20,0-0,507,362,37-63,5.7,145,29,5.0,5-37,3,1,2,39:55,SMU,away,24,322460239,2012,1,regular
1,1,-1,0,2,1,,,,8,0,0,1,17,7-16,0-1,412,260,13-33,7.9,152,40,3.8,13-70,1,0,1,31:53,Eastern Washington,away,20,322430070,2012,1,regular
0,0,,,,0,,,,3,2,0,1,10,2-14,2-2,237,164,16-31,5.3,73,28,2.6,7-52,2,1,1,28:07,Idaho,home,3,322430070,2012,1,regular
1,1,,,,0,132,0,6,4,0,0,1,7,1-12,0-1,154,11,2-11,1.0,143,37,3.9,5-55,2,1,1,27:07,Austin Peay,away,10,322450098,2012,1,regular
1,2,74,1,4,4,74,0,3,7,2,0,1,28,6-9,0-1,596,352,20-27,13.0,244,39,6.3,8-89,2,1,1,36:05,Western Kentucky,home,49,322450098,2012,1,regular
0,0,3,0,2,3,44,0,2,3,,,,14,3-11,2-3,306,265,18-34,7.8,41,20,2.0,2-15,0,0,0,20:55,Northern Iowa,away,21,322450275,2012,1,regular
0,1,18,0,4,2,42,0,2,8,,,,22,9-16,1-1,387,219,19-23,9.5,168,47,3.6,2-20,0,0,0,39:00,Wisconsin,home,26,322450275,2012,1,regular
2,1,,,,2,44,0,3,6,1,0,1,25,13-21,1-1,499,324,31-41,7.9,175,47,3.7,5-35,0,0,0,32:57,Ohio,away,24,322450213,2012,1,regular
0,0,6,0,3,2,65,0,4,2,,,,21,8-16,2-3,352,260,27-48,5.4,92,22,4.2,3-25,3,2,1,28:04,Penn State,home,14,322450213,2012,1,regular
3,1,11,0,1,0,191,0,8,,48,0,2,10,5-13,0-0,190,85,8-22,3.9,105,31,3.4,5-45,4,2,2,23:49,Eastern Kentucky,away,6,322452509,2012,1,regular
2,2,22,0,3,4,57,0,2,6,34,1,2,33,12-15,1-1,547,372,37-47,7.9,175,40,4.4,3-15,5,3,2,50:00,Purdue,home,48,322452509,2012,1,regular
0,0,,,,1,92,0,5,4,,,,12,5-19,0-2,312,313,32-54,5.8,-1,20,-0.1,6-33,3,1,2,28:16,Miami (OH),away,10,322450194,2012,1,regular
1,5,8,0,3,2,45,0,2,8,17,0,2,27,9-17,1-1,538,244,19-33,7.4,294,53,5.5,3-20,0,0,0,31:20,Ohio State,home,56,322450194,2012,1,regular
0,0,31,0,3,1,39,0,2,1,0,0,1,13,6-17,0-1,259,265,28-47,5.6,-6,19,-0.3,6-39,4,1,3,24:58,Western Michigan,away,7,322450356,2012,1,regular
1,1,1,0,1,1,,,,6,60,1,3,13,5-16,0-0,248,133,13-21,6.3,115,41,2.8,5-30,1,0,1,35:02,Illinois,home,24,322450356,2012,1,regular
0,1,,,,1,79,0,3,5,,,,19,3-12,1-3,387,211,20-32,6.6,176,32,5.5,7-85,2,1,1,27:52,Indiana State,away,17,322450084,2012,1,regular
1,2,,,,1,12,0,1,6,4,0,1,25,10-20,2-3,451,280,26-36,7.8,171,47,3.6,8-65,0,0,0,32:08,Indiana,home,24,322450084,2012,1,regular
1,0,17,0,1,0,71,0,3,7,69,1,3,13,5-14,0-1,206,169,15-32,5.3,37,24,1.5,3-35,2,1,1,20:26,Boise State,away,13,322440127,2012,1,regular
1,2,15,0,1,0,85,0,4,5,0,0,1,26,10-19,1-2,461,248,22-38,6.5,213,52,4.1,10-90,4,1,3,38:57,Michigan State,home,17,322440127,2012,1,regular
0,2,56,0,4,2,,,,11,51,1,3,20,3-10,0-0,431,199,11-21,9.5,232,42,5.5,7-55,1,1,0,31:26,Alabama,home,41,322450333,2012,1,regular
1,1,3,0,1,1,177,0,8,2,,,,11,3-12,0-1,269,200,11-27,7.4,69,29,2.4,8-86,3,0,3,27:41,Michigan,away,14,322450333,2012,1,regular
0,2,5,0,1,0,62,0,3,5,,,,12,6-15,0-1,201,54,6-16,3.4,147,36,4.1,5-21,1,1,0,21:18,Northern Illinois,home,17,322452459,2012,1,regular
1,1,21,0,2,0,53,0,3,12,,,,23,8-18,1-1,268,129,21-33,3.9,139,49,2.8,3-30,0,0,0,38:42,Iowa,away,18,322452459,2012,1,regular
0,1,2,0,1,0,14,0,2,4,,,,18,5-14,0-1,365,153,11-24,6.4,212,44,4.8,7-58,2,1,1,29:43,Villanova,away,10,322440218,2012,1,regular
1,3,84,0,4,1,41,0,3,11,57,1,1,15,6-13,0-1,362,61,5-11,5.5,301,47,6.4,3-14,0,0,0,30:07,Temple,home,41,322440218,2012,1,regular
0,0,0,0,1,1,117,0,5,4,,,,16,4-14,1-1,274,207,26-33,6.3,67,29,2.3,6-49,1,0,1,33:50,Weber State,away,10,322450278,2012,1,regular
0,3,20,0,2,2,77,0,3,7,0,0,1,25,4-11,1-1,515,298,20-26,11.5,217,39,5.6,7-80,0,0,0,25:46,Fresno State,home,37,322450278,2012,1,regular
1,1,39,0,3,2,123,0,6,6,,,,21,3-14,1-1,364,251,19-39,6.4,113,28,4.0,7-55,2,2,0,24:18,California,home,24,322450025,2012,1,regular
2,4,22,0,1,0,88,0,4,7,,,,27,11-20,1-1,450,230,25-32,7.2,220,57,3.9,11-110,1,1,0,34:57,Nevada,away,31,322450025,2012,1,regular
2,1,34,0,2,4,100,1,1,7,41,1,2,20,4-14,4-6,475,394,26-41,9.6,81,23,3.5,8-74,1,1,0,27:18,USC,home,49,322450030,2012,1,regular
1,0,39,0,1,1,106,0,5,4,,,,19,7-16,0-0,264,208,24-39,5.3,56,32,1.8,9-83,4,2,2,31:57,Hawai'i,away,10,322450030,2012,1,regular
0,2,33,0,1,1,42,0,2,5,,,,17,6-18,1-1,347,148,14-25,5.9,199,45,4.4,3-25,0,0,0,32:00,Buffalo,away,23,322450061,2012,1,regular
0,2,39,0,2,3,143,1,4,9,,,,23,7-14,0-0,485,258,15-27,9.6,227,39,5.8,5-22,0,0,0,27:16,Georgia,home,45,322450061,2012,1,regular
1,2,,,,0,60,0,3,2,,,,22,4-17,3-5,327,226,25-52,4.3,101,27,3.7,3-25,2,1,1,38:49,Bowling Green,away,14,322450057,2012,1,regular
1,2,45,0,3,1,49,0,3,9,31,0,1,14,5-16,1-2,365,145,13-21,6.9,220,42,5.2,14-106,1,1,0,33:08,Florida,home,27,322450057,2012,1,regular
1,2,-3,0,2,1,94,0,4,3,,,,22,6-16,1-3,407,288,27-48,6.0,119,32,3.7,4-40,4,0,4,28:15,NC State,away,21,322442633,2012,1,regular
0,2,5,0,1,2,45,0,2,9,38,0,4,23,9-19,0-2,524,333,27-41,8.1,191,38,5.0,6-35,1,1,0,31:45,Tennessee,home,35,322442633,2012,1,regular
1,0,15,0,1,1,84,0,4,7,17,0,1,11,3-15,1-4,276,214,13-23,9.3,62,36,1.7,5-35,1,0,1,28:00,Vanderbilt,home,13,322430238,2012,1,regular
0,2,15,0,3,0,,,,5,37,0,1,17,3-12,1-1,272,67,7-15,4.5,205,47,4.4,6-30,2,1,1,31:36,South Carolina,away,17,322430238,2012,1,regular
0,2,,,,2,61,0,2,3,23,0,1,18,7-15,0-0,347,247,25-32,7.7,100,35,2.9,3-25,2,1,1,32:14,Central Arkansas,away,27,322450145,2012,1,regular
1,4,20,0,3,3,49,0,2,7,10,0,1,31,7-11,1-1,565,330,25-31,10.6,235,47,5.0,3-18,1,0,1,27:34,Ole Miss,home,49,322450145,2012,1,regular
0,0,,,,1,72,0,5,3,,,,16,2-11,1-1,265,156,20-38,4.1,109,21,5.2,9-81,3,1,2,27:29,Jackson State,away,9,322450344,2012,1,regular
1,4,24,0,5,2,28,0,3,8,74,2,2,24,8-13,2-2,395,193,16-28,6.9,202,38,5.3,6-64,0,0,0,32:17,Mississippi State,home,56,322450344,2012,1,regular
3,1,17,0,1,2,33,0,2,6,,,,20,8-19,0-2,322,227,18-37,6.1,95,44,2.2,7-61,1,1,0,34:19,Jacksonville State,away,24,322450008,2012,1,regular
1,4,29,0,5,3,96,0,4,7,,,,25,5-9,0-2,564,400,23-34,11.8,164,35,4.7,6-38,3,3,0,25:41,Arkansas,home,49,322450008,2012,1,regular
0,0,37,0,5,2,22,0,1,7,,,,18,3-15,2-2,397,308,23-35,8.8,89,31,2.9,9-58,3,2,1,27:44,Sacramento State,away,19,322430166,2012,1,regular
2,4,,,,3,92,0,5,7,0,0,1,18,6-13,1-1,468,367,14-22,16.7,101,40,2.5,7-75,0,0,0,31:47,New Mexico State,home,49,322430166,2012,1,regular
1,0,,,,0,78,0,4,3,0,0,1,12,3-15,0-1,209,153,12-31,4.9,56,27,2.1,4-35,1,0,1,26:25,Southern Utah,away,3,322430328,2012,1,regular
0,3,40,0,2,2,44,0,2,4,0,0,1,28,8-12,0-1,569,304,23-26,11.7,265,52,5.1,10-108,2,1,1,33:29,Utah State,home,34,322430328,2012,1,regular
1,1,,,,1,30,0,2,14,0,0,1,28,8-17,1-1,528,208,24-35,5.9,320,52,6.2,6-30,1,0,1,31:29,Clemson,away,26,322450002,2012,1,regular
0,0,5,0,1,1,21,0,1,13,12,0,1,17,4-13,0-1,374,194,11-27,7.2,180,37,4.9,6-38,2,1,1,28:14,Auburn,home,19,322450002,2012,1,regular
0,2,,,,1,95,0,4,3,,,,19,7-12,2-3,316,246,26-36,6.8,70,30,2.3,7-39,6,4,2,31:58,Towson,away,21,322432309,2012,1,regular
4,3,,,,1,155,1,3,11,0,0,2,15,5-14,1-2,267,166,13-22,7.5,101,38,2.7,6-35,0,0,0,27:47,Kent State,home,41,322432309,2012,1,regular
1,1,23,0,3,2,16,0,1,6,,,,33,5-15,0-1,624,387,30-47,8.2,237,41,5.8,7-56,3,2,1,28:07,Arizona,home,24,322450012,2012,1,regular
2,1,0,0,1,1,54,0,1,5,9,0,1,24,10-23,1-2,358,197,21-47,4.2,161,47,3.4,7-66,1,1,0,31:39,Toledo,away,17,322450012,2012,1,regular
1,1,-4,0,1,3,72,0,4,2,,,,20,3-12,1-2,366,186,15-34,5.5,180,33,5.5,6-48,1,1,0,23:48,Eastern Michigan,away,26,322432050,2012,1,regular
1,4,21,0,2,0,100,0,4,13,,,,36,7-15,1-2,596,267,26-41,6.5,329,55,6.0,6-69,1,1,0,35:22,Ball State,home,37,322432050,2012,1,regular
2,2,,,,1,69,0,4,9,0,0,1,14,5-13,0-1,308,120,11-18,6.7,188,42,4.5,10-75,0,0,0,30:52,Southeast Missouri State,away,27,322432117,2012,1,regular
0,4,18,0,2,1,81,0,5,8,,,,28,6-9,0-0,495,171,14-23,7.4,324,45,7.2,0-0,3,2,1,29:08,Central Michigan,home,38,322432117,2012,1,regular
1,0,2,0,1,0,112,0,7,3,0,0,1,9,3-18,0-1,156,117,19-38,3.1,39,32,1.2,5-36,3,2,1,29:24,Murray State,away,3,322450052,2012,1,regular
2,7,67,1,5,1,52,0,2,15,0,0,1,28,5-10,0-0,606,321,25-35,9.2,285,42,6.8,3-40,2,1,1,39:35,Florida State,home,69,322450052,2012,1,regular
2,3,25,0,3,1,110,0,6,11,41,1,1,22,11-21,1-2,415,207,28-45,4.6,208,34,6.1,9-77,1,0,1,41:21,Miami,away,41,322450103,2012,1,regular
0,1,1,0,1,2,85,0,7,12,11,0,1,29,6-14,0-1,537,441,32-51,8.6,96,34,2.8,3-30,3,2,1,33:39,Boston College,home,32,322450103,2012,1,regular
0,0,-11,0,2,2,23,0,1,5,2,0,1,16,7-18,1-2,363,272,21-40,6.8,91,33,2.8,6-30,2,1,1,28:07,Liberty,away,17,322450154,2012,1,regular
1,1,28,0,3,1,22,0,1,2,39,1,1,14,7-18,0-0,293,195,16-28,7.0,98,38,2.6,3-30,1,0,1,31:53,Wake Forest,home,20,322450154,2012,1,regular
0,1,1,0,1,1,39,0,2,5,,,,17,7-18,1-2,288,96,10-16,6.0,192,55,3.5,5-35,1,0,1,34:45,Georgia Tech,away,17,322470259,2012,1,regular
0,0,0,0,1,2,54,0,2,8,0,0,1,19,5-16,1-3,326,230,21-38,6.1,96,35,2.7,3-15,0,0,0,24:58,Virginia Tech,home,20,322470259,2012,1,regular
1,0,,,,0,157,0,9,,0,0,1,11,6-19,0-1,170,128,17-34,3.8,42,36,1.2,3-35,4,2,2,34:06,Elon,away,0,322450153,2012,1,regular
2,4,260,1,9,3,9,0,1,14,0,0,2,24,6-13,2-3,524,281,20-28,10.0,243,46,5.3,3-20,2,1,1,25:54,North Carolina,home,62,322450153,2012,1,regular
0,1,17,0,1,2,52,0,3,1,,,,16,4-15,2-3,266,238,24-43,5.5,28,21,1.3,3-25,0,0,0,22:31,Richmond,away,19,322450258,2012,1,regular
0,4,9,0,2,1,132,0,4,11,,,,28,8-16,2-3,545,361,30-43,8.4,184,42,4.4,3-26,0,0,0,37:29,Virginia,home,43,322450258,2012,1,regular
1,2,6,0,1,2,82,0,4,2,0,0,1,29,9-18,1-4,513,348,27-46,7.6,165,45,3.7,4-23,2,2,0,33:10,Florida International,away,26,322450150,2012,1,regular
2,2,21,0,2,3,50,0,2,8,,,,16,3-13,2-2,420,301,23-34,8.9,119,30,4.0,9-73,2,1,1,28:12,Duke,home,46,322450150,2012,1,regular
1,0,,,,0,25,0,2,,3,0,1,8,4-19,0-1,139,81,12-27,3.0,58,41,1.4,13-69,2,0,2,34:13,Savannah State,away,0,322450197,2012,1,regular
0,9,153,0,9,3,61,0,1,12,7,0,2,34,7-10,0-0,682,287,26-37,7.8,395,42,9.4,4-40,2,1,1,25:47,Oklahoma State,home,84,322450197,2012,1,regular
0,0,0,0,1,0,57,0,4,9,,,,19,4-17,1-2,418,323,26-51,6.3,95,26,3.7,3-30,2,1,1,28:14,Missouri State,away,9,322452306,2012,1,regular
1,3,133,1,3,2,19,0,2,15,18,0,1,21,5-13,0-0,493,169,19-28,6.0,324,40,8.1,2-15,0,0,0,31:46,Kansas State,home,51,322452306,2012,1,regular
0,0,66,1,6,0,66,0,4,1,,,,12,3-16,0-2,255,48,7-26,1.8,207,36,5.8,6-28,0,0,0,28:13,UTEP,home,7,322452638,2012,1,regular
0,1,30,0,3,2,,,,6,,,,19,5-16,1-1,427,222,21-36,6.2,205,37,5.5,7-55,0,0,0,31:37,Oklahoma,away,24,322452638,2012,1,regular
1,0,,,,0,137,0,6,6,49,0,1,6,3-14,0-0,84,71,11-21,3.4,13,28,0.5,8-88,0,0,0,23:56,Northwestern State,away,6,322452641,2012,1,regular
0,2,37,0,2,3,,,,14,,,,37,10-16,1-1,500,321,33-47,6.8,179,46,3.9,6-45,2,1,1,36:04,Texas Tech,home,44,322452641,2012,1,regular
1,1,1,0,2,1,164,0,6,5,0,0,1,18,3-14,0-2,411,207,18-40,5.2,204,33,6.2,3-25,5,1,4,27:56,South Dakota State,away,17,322452305,2012,1,regular
1,3,36,0,3,1,,,,7,31,0,4,22,5-17,1-3,432,169,17-36,4.7,263,48,5.5,5-45,2,1,1,32:04,Kansas,home,31,322452305,2012,1,regular
0,2,26,0,3,2,160,0,8,10,30,0,1,28,9-19,2-3,545,413,38-56,7.4,132,45,2.9,11-112,2,1,1,32:19,Marshall,away,34,322450277,2012,1,regular
1,4,19,0,3,5,92,0,5,9,46,0,1,31,5-8,0-1,655,324,34-39,8.3,331,35,9.5,5-39,1,0,1,26:31,West Virginia,home,69,322450277,2012,1,regular
0,0,,,,1,146,0,8,4,,,,16,6-16,1-2,223,165,21-34,4.9,58,34,1.7,9-63,4,3,1,34:27,Southeastern Louisiana,away,10,322450142,2012,1,regular
3,3,180,2,5,2,56,0,1,8,20,1,1,18,3-10,2-4,452,191,18-26,7.3,261,36,7.3,9-94,0,0,0,25:23,Missouri,home,62,322450142,2012,1,regular
1,1,34,0,3,1,40,0,3,8,23,0,1,18,2-13,2-3,280,125,16-26,4.8,155,41,3.8,1-5,0,0,0,30:32,Stanford,home,20,322440024,2012,1,regular
0,1,,,,1,32,0,2,5,,,,15,7-16,0-1,287,217,24-35,6.2,70,27,2.6,7-66,2,1,1,29:28,San José State,away,17,322440024,2012,1,regular
1,4,7,0,2,2,51,0,4,5,0,0,1,25,2-11,2-2,618,275,24-32,8.6,343,37,9.3,8-79,2,1,1,25:30,UCLA,away,49,322430242,2012,1,regular
1,1,,,,2,,,,6,8,0,1,20,7-18,0-0,358,184,18-30,6.1,174,48,3.6,3-30,2,1,1,31:59,Rice,home,24,322430242,2012,1,regular
0,1,,,,3,111,0,6,10,5,0,1,27,4-12,0-1,530,304,29-44,6.9,226,37,6.1,6-57,3,2,1,27:27,Arkansas State,away,34,322452483,2012,1,regular
2,4,6,0,1,4,2,0,1,7,25,0,1,34,10-19,4-5,605,308,28-39,7.9,297,57,5.2,8-75,1,0,1,32:33,Oregon,home,57,322452483,2012,1,regular
0,0,,,,3,,,,12,64,0,2,24,10-17,1-1,426,303,26-37,8.2,123,41,3.0,10-112,0,0,0,33:51,BYU,home,30,322430252,2012,1,regular
0,0,17,0,1,0,140,0,6,6,,,,18,5-15,1-1,224,229,30-45,5.1,-5,16,-0.3,8-73,2,0,2,25:29,Washington State,away,6,322430252,2012,1,regular
0,0,,,,0,58,0,5,,0,0,1,7,4-15,0-1,114,79,11-26,3.0,35,24,1.5,3-35,2,1,1,22:28,Northern Colorado,away,0,322430254,2012,1,regular
1,3,12,0,4,2,,,,5,24,1,1,26,9-15,3-3,414,221,21-29,7.6,193,47,4.1,3-20,1,0,1,37:32,Utah,home,41,322430254,2012,1,regular
1,0,18,0,1,1,114,0,5,,,,,14,4-14,0-1,237,149,12-26,5.7,88,35,2.5,4-55,3,0,3,29:44,Northern Arizona,away,6,322430009,2012,1,regular
0,7,13,0,2,1,7,0,1,9,117,1,3,25,7-13,1-1,554,249,16-20,12.4,305,51,6.0,4-30,1,1,0,30:16,Arizona State,home,63,322430009,2012,1,regular
1,0,,,,0,56,0,3,,,,,13,6-16,0-2,194,156,18-29,5.4,38,37,1.0,4-34,4,3,1,34:22,Lamar,away,0,322450309,2012,1,regular
3,2,47,0,4,2,41,0,1,16,16,0,1,15,7-14,0-0,346,203,13-27,7.5,143,34,4.2,7-50,1,1,0,25:38,Louisiana,home,40,322450309,2012,1,regular
3,0,-7,0,2,3,58,0,3,15,0,0,1,16,2-12,1-1,398,215,18-30,7.2,183,31,5.9,11-114,1,0,1,32:59,UT San Antonio,away,33,322450006,2012,1,regular
0,2,37,0,2,2,95,0,2,7,28,0,1,18,5-13,2-2,308,182,15-26,7.0,126,37,3.4,7-80,4,3,1,26:53,South Alabama,home,31,322450006,2012,1,regular
4,0,16,0,2,0,22,0,1,3,,,,11,1-12,1-2,215,91,7-20,4.6,124,35,3.5,4-30,1,0,1,30:15,Wagner,away,3,322442226,2012,1,regular
