fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,interceptionYards,interceptionTDs,passesIntercepted,team,home_away,points,game_id,season,week,season_type
1,3,7,0,1,2,131,0,6,11,22,6-14,1-1,496,281,16-27,10.4,215,43,5.0,8-78,1,0,1,33:17,0,0,1,Rutgers,away,41,400547993,2014,1,regular
0,1,0,0,1,1,82,0,4,2,17,5-17,2-3,280,127,17-33,3.8,153,36,4.3,8-69,0,0,0,29:52,0,0,1,Appalachian State,away,14,400547943,2014,1,regular
0,3,47,1,3,3,36,0,1,10,24,5-8,0-0,560,210,16-19,11.1,350,36,9.7,4-44,1,0,1,30:08,,,,Michigan,home,52,400547943,2014,1,regular
1,1,,,,0,,,,4,10,2-14,1-2,170,140,17-33,4.2,30,24,1.3,2-22,0,0,0,23:40,60,0,1,Indiana State,away,10,400547916,2014,1,regular
0,4,36,0,4,0,84,0,4,4,29,11-17,0-2,566,111,11-18,6.2,455,69,6.6,4-30,2,1,1,36:20,,,,Indiana,home,28,400547916,2014,1,regular
1,1,,,,2,40,0,2,2,27,8-21,4-5,409,310,32-57,5.4,99,39,2.5,6-28,3,2,1,29:51,,,,Eastern Illinois,away,20,400547960,2014,1,regular
2,4,57,1,5,1,33,0,2,6,18,6-12,0-0,338,156,10-18,8.7,182,40,4.6,5-50,1,1,0,28:32,17,0,1,Minnesota,home,42,400547960,2014,1,regular
0,0,,,,1,105,0,3,1,13,4-15,0-1,200,95,11-30,3.2,105,30,3.5,3-22,0,0,0,25:42,,,,Florida Atlantic,away,7,400547968,2014,1,regular
0,5,19,0,4,2,14,0,1,13,35,8-12,0-0,784,286,17-35,8.2,498,57,8.7,6-60,0,0,0,33:55,,,,Nebraska,home,55,400547968,2014,1,regular
1,0,22,0,2,2,72,0,4,11,13,6-16,0-1,405,380,17-37,10.3,25,25,1.0,16-128,2,0,2,26:46,,,,Northern Iowa,away,23,400547928,2014,1,regular
0,2,21,0,3,2,104,0,4,7,26,7-14,0-1,401,250,31-41,6.1,151,36,4.2,4-35,1,1,0,33:14,20,0,2,Iowa,home,31,400547928,2014,1,regular
1,1,12,0,2,0,27,0,1,9,19,5-20,2-3,380,177,11-24,7.4,203,59,3.4,5-25,0,0,0,40:01,,,,Youngstown State,away,17,400547904,2014,1,regular
0,0,17,0,3,4,87,0,2,4,14,8-15,0-0,363,285,24-38,7.5,78,22,3.5,7-55,1,1,0,19:59,,,,Illinois,home,28,400547904,2014,1,regular
0,1,17,0,2,3,58,0,4,7,23,8-17,2-3,414,300,23-39,7.7,114,45,2.5,6-59,2,0,2,31:34,0,0,2,California,away,31,400547975,2014,1,regular
0,1,,,,2,60,0,3,6,22,8-20,2-4,354,246,24-45,5.5,108,36,3.0,1-0,2,0,2,28:26,7,0,2,Northwestern,home,24,400547975,2014,1,regular
1,1,18,0,1,0,119,0,8,7,19,7-17,0-2,370,198,18-34,5.8,172,39,4.4,5-35,1,1,0,39:04,,,,South Dakota,away,13,400548257,2014,1,regular
1,4,46,1,4,4,53,0,4,6,32,7-9,0-0,673,380,25-32,11.9,293,38,7.7,9-64,1,1,0,20:56,,,,Oregon,home,62,400548257,2014,1,regular
2,0,,,,0,85,0,5,,6,1-13,0-0,115,54,12-22,2.5,61,27,2.3,5-42,3,1,2,28:18,20,0,1,UC Davis,away,0,400548259,2014,1,regular
1,1,134,1,5,4,22,0,1,9,21,3-9,0-1,461,312,21-30,10.4,149,32,4.7,4-40,3,2,1,31:36,0,0,2,Stanford,home,45,400548259,2014,1,regular
